import time: self [us] | cumulative | imported package
import time:       272 |        272 |   _io
import time:        38 |         38 |   marshal
import time:       339 |        339 |   posix
import time:       322 |        970 | _frozen_importlib_external
import time:        87 |         87 |   time
import time:       107 |        194 | zipimport
import time:        57 |         57 |     _codecs
import time:       310 |        367 |   codecs
import time:       480 |        480 |   encodings.aliases
import time:       576 |       1421 | encodings
import time:       194 |        194 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        30 |         30 |     _abc
import time:       116 |        145 |   abc
import time:       153 |        298 | io
import time:        41 |         41 |       _stat
import time:        56 |         97 |     stat
import time:       858 |        858 |     _collections_abc
import time:        57 |         57 |       genericpath
import time:        81 |        137 |     posixpath
import time:       326 |       1416 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       589 |        589 |   _virtualenv
import time:       286 |        286 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       128 |        187 |   sitecustomize
import time:      1303 |       3848 | site
import time:       160 |        160 |     __future__
import time:       302 |        302 |           types
import time:        95 |         95 |             _operator
import time:       397 |        491 |           operator
import time:       234 |        234 |               itertools
import time:       489 |        489 |               keyword
import time:       220 |        220 |               reprlib
import time:        81 |         81 |               _collections
import time:       885 |       1907 |             collections
import time:        94 |         94 |             _functools
import time:       681 |       2681 |           functools
import time:      1498 |       4970 |         enum
import time:        96 |         96 |           _sre
import time:       281 |        281 |             re._constants
import time:       553 |        833 |           re._parser
import time:       167 |        167 |           re._casefix
import time:       516 |       1611 |         re._compiler
import time:       187 |        187 |         copyreg
import time:       579 |       7345 |       re
import time:       213 |        213 |         collections.abc
import time:       176 |        176 |             token
import time:        43 |         43 |             _tokenize
import time:      1102 |       1320 |           tokenize
import time:       161 |       1480 |         linecache
import time:      1004 |       1004 |         textwrap
import time:       660 |        660 |         contextlib
import time:       687 |       4042 |       traceback
import time:      1160 |       1160 |       warnings
import time:       244 |        244 |         _weakrefset
import time:       490 |        733 |       weakref
import time:        45 |         45 |         _string
import time:       627 |        671 |       string
import time:       798 |        798 |       threading
import time:        60 |         60 |       atexit
import time:      2257 |      17063 |     logging
import time:       191 |        191 |       _datetime
import time:       170 |        361 |     datetime
import time:       219 |        219 |         _socket
import time:       112 |        112 |           math
import time:        69 |         69 |           select
import time:       728 |        908 |         selectors
import time:        90 |         90 |         errno
import time:       108 |        108 |         array
import time:      1766 |       3091 |       socket
import time:       205 |        205 |           _struct
import time:       158 |        362 |         struct
import time:       279 |        279 |         _compat_pickle
import time:       118 |        118 |         _pickle
import time:       934 |       1691 |       pickle
import time:        48 |         48 |           _heapq
import time:       201 |        249 |         heapq
import time:       199 |        199 |         _queue
import time:       370 |        817 |       queue
import time:       234 |        234 |       copy
import time:       819 |       6650 |     logging.handlers
import time:       181 |        181 |       fnmatch
import time:       145 |        145 |         urllib
import time:      1421 |       1421 |         ipaddress
import time:      1190 |       2755 |       urllib.parse
import time:       169 |        169 |         _winapi
import time:        63 |         63 |         nt
import time:        56 |         56 |         nt
import time:        68 |         68 |         nt
import time:        52 |         52 |         nt
import time:        51 |         51 |         nt
import time:        48 |         48 |         nt
import time:       128 |        631 |       ntpath
import time:      1049 |       4615 |     pathlib
import time:       163 |        163 |             IPython.core
import time:       205 |        368 |           IPython.core.getipython
import time:        98 |         98 |           IPython.core.release
import time:       118 |        118 |               zlib
import time:       232 |        232 |                 _compression
import time:       278 |        278 |                 _bz2
import time:       386 |        894 |               bz2
import time:       324 |        324 |                 _lzma
import time:       295 |        618 |               lzma
import time:       782 |       2411 |             shutil
import time:        71 |         71 |                     _typing
import time:      2779 |       2850 |                   typing
import time:      1233 |       1233 |                         _ast
import time:      1403 |       2636 |                       ast
import time:        65 |         65 |                           _opcode
import time:       594 |        659 |                         opcode
import time:      1014 |       1673 |                       dis
import time:       188 |        188 |                         importlib
import time:        88 |        275 |                       importlib.machinery
import time:      2378 |       6960 |                     inspect
import time:       153 |        153 |                       traitlets.utils
import time:       217 |        369 |                     traitlets.utils.bunch
import time:       138 |        138 |                     traitlets.utils.descriptions
import time:       104 |        104 |                     traitlets.utils.getargspec
import time:        91 |         91 |                     traitlets.utils.importstring
import time:       109 |        109 |                     traitlets.utils.sentinel
import time:       102 |        102 |                     traitlets.utils.warnings
import time:      4167 |      12036 |                   traitlets.traitlets
import time:       267 |        267 |                   traitlets._version
import time:       142 |        142 |                   traitlets.utils.decorators
import time:       329 |      15622 |                 traitlets
import time:       193 |        193 |                         _json
import time:       543 |        736 |                       json.scanner
import time:       512 |       1248 |                     json.decoder
import time:       500 |        500 |                     json.encoder
import time:       282 |       2029 |                   json
import time:       679 |        679 |                     dataclasses
import time:       403 |       1082 |                   pprint
import time:       630 |        630 |                     socketserver
import time:      1307 |       1937 |                   logging.config
import time:       119 |        119 |                     traitlets.utils.text
import time:       914 |        914 |                         gettext
import time:      1038 |       1951 |                       argparse
import time:      1299 |       3250 |                     traitlets.config.loader
import time:       965 |       4333 |                   traitlets.config.configurable
import time:       145 |        145 |                   traitlets.utils.nested_update
import time:      1144 |      10667 |                 traitlets.config.application
import time:       162 |      26451 |               traitlets.config
import time:        24 |      26474 |             traitlets.config.application
import time:      1288 |       1288 |                       html.entities
import time:       428 |       1716 |                     html
import time:       229 |        229 |                         executing._utils
import time:       138 |        138 |                           executing._exceptions
import time:       467 |        605 |                         executing._position_node_finder
import time:       731 |       1564 |                       executing.executing
import time:       114 |        114 |                       executing._pytest_utils
import time:        87 |         87 |                       executing.version
import time:       324 |       2087 |                     executing
import time:        50 |         50 |                             _bisect
import time:       129 |        178 |                           bisect
import time:       203 |        380 |                         asttokens.line_numbers
import time:        80 |         80 |                               astroid
import time:        44 |        124 |                             astroid.nodes
import time:      1449 |       1572 |                           asttokens.util
import time:       299 |       1871 |                         asttokens.asttokens
import time:       153 |       2404 |                       asttokens
import time:        19 |       2422 |                     asttokens.util
import time:       466 |        466 |                                 numbers
import time:       731 |       1196 |                               _decimal
import time:       143 |       1339 |                             decimal
import time:      1717 |       1717 |                             fractions
import time:       391 |       3445 |                           pure_eval.utils
import time:       167 |       3612 |                         pure_eval.my_getattr_static
import time:       442 |       4053 |                       pure_eval.core
import time:       139 |        139 |                       pure_eval.version
import time:       193 |       4384 |                     pure_eval
import time:       479 |        479 |                     stack_data.utils
import time:      1501 |      12587 |                   stack_data.core
import time:       310 |        310 |                   stack_data.formatting
import time:       275 |        275 |                   stack_data.serializing
import time:       109 |        109 |                   stack_data.version
import time:       242 |      13521 |                 stack_data
import time:       150 |        150 |                     pygments
import time:       270 |        270 |                     pygments.formatters._mapping
import time:        78 |         78 |                           _csv
import time:       349 |        426 |                         csv
import time:       165 |        165 |                         email
import time:        90 |         90 |                           binascii
import time:       144 |        144 |                             importlib._abc
import time:       147 |        290 |                           importlib.util
import time:       134 |        134 |                             zipfile._path.glob
import time:       429 |        563 |                           zipfile._path
import time:      1009 |       1950 |                         zipfile
import time:       182 |        182 |                             quopri
