import time: self [us] | cumulative | imported package
import time:       269 |        269 |   _io
import time:        38 |         38 |   marshal
import time:       314 |        314 |   posix
import time:       372 |        991 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       112 |        206 | zipimport
import time:        56 |         56 |     _codecs
import time:       293 |        348 |   codecs
import time:       456 |        456 |   encodings.aliases
import time:       513 |       1316 | encodings
import time:       205 |        205 | encodings.utf_8
import time:        97 |         97 | _signal
import time:        31 |         31 |     _abc
import time:       117 |        148 |   abc
import time:       141 |        289 | io
import time:        42 |         42 |       _stat
import time:        57 |         98 |     stat
import time:       810 |        810 |     _collections_abc
import time:        49 |         49 |       genericpath
import time:        77 |        125 |     posixpath
import time:       331 |       1363 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       592 |        592 |   _virtualenv
import time:       261 |        261 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       129 |        187 |   sitecustomize
import time:      1256 |       3726 | site
import time:       157 |        157 |     __future__
import time:       282 |        282 |           types
import time:        98 |         98 |             _operator
import time:       403 |        501 |           operator
import time:       230 |        230 |               itertools
import time:       145 |        145 |               keyword
import time:       188 |        188 |               reprlib
import time:        78 |         78 |               _collections
import time:       807 |       1445 |             collections
import time:        73 |         73 |             _functools
import time:       642 |       2159 |           functools
import time:      1416 |       4356 |         enum
import time:        87 |         87 |           _sre
import time:       261 |        261 |             re._constants
import time:       491 |        752 |           re._parser
import time:       123 |        123 |           re._casefix
import time:       456 |       1416 |         re._compiler
import time:       194 |        194 |         copyreg
import time:       531 |       6495 |       re
import time:       156 |        156 |         collections.abc
import time:       173 |        173 |             token
import time:        43 |         43 |             _tokenize
import time:      1043 |       1258 |           tokenize
import time:       155 |       1412 |         linecache
import time:       975 |        975 |         textwrap
import time:       608 |        608 |         contextlib
import time:       646 |       3795 |       traceback
import time:      1133 |       1133 |       warnings
import time:       213 |        213 |         _weakrefset
import time:       449 |        661 |       weakref
import time:        56 |         56 |         _string
import time:       576 |        632 |       string
import time:       778 |        778 |       threading
import time:        70 |         70 |       atexit
import time:      2135 |      15694 |     logging
import time:       230 |        230 |       _datetime
import time:       151 |        381 |     datetime
import time:       247 |        247 |         _socket
import time:        85 |         85 |           math
import time:        63 |         63 |           select
import time:       740 |        888 |         selectors
import time:        82 |         82 |         errno
import time:       101 |        101 |         array
import time:      1693 |       3009 |       socket
import time:       211 |        211 |           _struct
import time:       151 |        361 |         struct
import time:       294 |        294 |         _compat_pickle
import time:       123 |        123 |         _pickle
import time:       977 |       1754 |       pickle
import time:        46 |         46 |           _heapq
import time:       193 |        238 |         heapq
import time:       199 |        199 |         _queue
import time:       305 |        741 |       queue
import time:       215 |        215 |       copy
import time:       800 |       6517 |     logging.handlers
import time:       166 |        166 |       fnmatch
import time:       116 |        116 |         urllib
import time:      1511 |       1511 |         ipaddress
import time:      1105 |       2732 |       urllib.parse
import time:       154 |        154 |         _winapi
import time:        78 |         78 |         nt
import time:        55 |         55 |         nt
import time:        65 |         65 |         nt
import time:        51 |         51 |         nt
import time:        49 |         49 |         nt
import time:        50 |         50 |         nt
import time:       117 |        616 |       ntpath
import time:       816 |       4327 |     pathlib
import time:       163 |        163 |             IPython.core
import time:       202 |        364 |           IPython.core.getipython
import time:        99 |         99 |           IPython.core.release
import time:        95 |         95 |               zlib
import time:       219 |        219 |                 _compression
import time:       288 |        288 |                 _bz2
import time:       416 |        922 |               bz2
import time:       339 |        339 |                 _lzma
import time:       301 |        639 |               lzma
import time:       675 |       2328 |             shutil
import time:        52 |         52 |                     _typing
import time:      2733 |       2785 |                   typing
import time:      1237 |       1237 |                         _ast
import time:      1297 |       2533 |                       ast
import time:        42 |         42 |                           _opcode
import time:       479 |        521 |                         opcode
import time:       986 |       1507 |                       dis
import time:       180 |        180 |                         importlib
import time:        71 |        251 |                       importlib.machinery
import time:      2276 |       6565 |                     inspect
import time:       174 |        174 |                       traitlets.utils
import time:       216 |        390 |                     traitlets.utils.bunch
import time:       133 |        133 |                     traitlets.utils.descriptions
import time:       105 |        105 |                     traitlets.utils.getargspec
import time:        94 |         94 |                     traitlets.utils.importstring
import time:       111 |        111 |                     traitlets.utils.sentinel
import time:       109 |        109 |                     traitlets.utils.warnings
import time:      4115 |      11619 |                   traitlets.traitlets
import time:       267 |        267 |                   traitlets._version
import time:       140 |        140 |                   traitlets.utils.decorators
import time:       290 |      15099 |                 traitlets
import time:       202 |        202 |                         _json
import time:       511 |        712 |                       json.scanner
import time:       426 |       1137 |                     json.decoder
import time:       447 |        447 |                     json.encoder
import time:       237 |       1820 |                   json
import time:       639 |        639 |                     dataclasses
import time:       368 |       1006 |                   pprint
import time:       625 |        625 |                     socketserver
import time:      1363 |       1987 |                   logging.config
import time:       120 |        120 |                     traitlets.utils.text
import time:       846 |        846 |                         gettext
import time:      1017 |       1863 |                       argparse
import time:      1251 |       3113 |                     traitlets.config.loader
import time:       987 |       4220 |                   traitlets.config.configurable
import time:       147 |        147 |                   traitlets.utils.nested_update
import time:      1121 |      10297 |                 traitlets.config.application
import time:       159 |      25554 |               traitlets.config
import time:        23 |      25577 |             traitlets.config.application
import time:      1215 |       1215 |                       html.entities
import time:       375 |       1590 |                     html
import time:       261 |        261 |                         executing._utils
import time:       136 |        136 |                           executing._exceptions
import time:       464 |        600 |                         executing._position_node_finder
import time:       804 |       1664 |                       executing.executing
import time:       119 |        119 |                       executing._pytest_utils
import time:       147 |        147 |                       executing.version
import time:       305 |       2234 |                     executing
import time:        58 |         58 |                             _bisect
import time:       144 |        201 |                           bisect
import time:       225 |        425 |                         asttokens.line_numbers
import time:        82 |         82 |                               astroid
import time:        44 |        126 |                             astroid.nodes
import time:      1538 |       1663 |                           asttokens.util
import time:       311 |       1973 |                         asttokens.asttokens
import time:       175 |       2573 |                       asttokens
import time:        20 |       2592 |                     asttokens.util
import time:       511 |        511 |                                 numbers
import time:       742 |       1252 |                               _decimal
import time:       135 |       1386 |                             decimal
import time:      1700 |       1700 |                             fractions
import time:       324 |       3410 |                           pure_eval.utils
import time:       185 |       3595 |                         pure_eval.my_getattr_static
import time:       440 |       4034 |                       pure_eval.core
import time:       119 |        119 |                       pure_eval.version
import time:       206 |       4358 |                     pure_eval
import time:       460 |        460 |                     stack_data.utils
import time:      1420 |      12652 |                   stack_data.core
import time:       315 |        315 |                   stack_data.formatting
import time:       270 |        270 |                   stack_data.serializing
import time:       110 |        110 |                   stack_data.version
import time:       232 |      13576 |                 stack_data
import time:       153 |        153 |                     pygments
import time:       282 |        282 |                     pygments.formatters._mapping
import time:        92 |         92 |                           _csv
import time:       375 |        466 |                         csv
import time:       147 |        147 |                         email
import time:        93 |         93 |                           binascii
import time:       158 |        158 |                             importlib._abc
import time:       140 |        297 |                           importlib.util
import time:       139 |        139 |                             zipfile._path.glob
import time:       388 |        526 |                           zipfile._path
import time:      1062 |       1977 |                         zipfile
import time:       192 |        192 |                             quopri
import time:        54 |         54 |                                 _random
import time:        62 |         62 |                                 _sha2
import time:       499 |        614 |                               random
import time:       104 |        104 |                                     _locale
import time:      1443 |       1546 |                                   locale
import time:       991 |       2536 |                                 calendar
import time:       285 |       2820 |                               email._parseaddr
import time:       373 |        373 |                                   base64
import time:       145 |        518 |                                 email.base64mime
import time:       248 |        248 |                                 email.quoprimime
import time:       640 |        640 |                                 email.errors
import time:       138 |        138 |                                 email.encoders
import time:       255 |       1797 |                               email.charset
import time:       524 |       5754 |                             email.utils
import time:       700 |        700 |                               email.header
import time:       327 |       1026 |                             email._policybase
import time:       285 |        285 |                             email._encoded_words
import time:       145 |        145 |                             email.iterators
import time:       663 |       8063 |                           email.message
import time:        96 |         96 |                             importlib.metadata._functools
import time:       164 |        259 |                           importlib.metadata._text
import time:       349 |       8670 |                         importlib.metadata._adapters
import time:       422 |        422 |                         importlib.metadata._meta
import time:       285 |        285 |                         importlib.metadata._collections
import time:       117 |        117 |                         importlib.metadata._itertools
import time:       573 |        573 |                               tempfile
import time:       392 |        392 |                               importlib.resources.abc
import time:       343 |        343 |                               importlib.resources._adapters
import time:       430 |       1736 |                             importlib.resources._common
import time:       226 |        226 |                             importlib.resources._legacy
import time:       140 |       2101 |                           importlib.resources
import time:       375 |       2476 |                         importlib.abc
import time:      1363 |      15919 |                       importlib.metadata
import time:       146 |      16064 |                     pygments.plugin
import time:       750 |        750 |                     pygments.util
import time:       253 |      17500 |                   pygments.formatters
import time:       190 |        190 |                       pygments.styles._mapping
import time:       183 |        372 |                     pygments.styles
import time:       142 |        514 |                   pygments.formatter
import time:       135 |        135 |                   pygments.console
import time:       458 |        458 |                     pygments.token
import time:       350 |        808 |                   pygments.style
import time:       296 |      19252 |                 pygments.formatters.terminal256
import time:       139 |        139 |                 IPython.utils
import time:       324 |        324 |                   glob
import time:      1433 |       1433 |                         signal
import time:        74 |         74 |                         fcntl
import time:        76 |         76 |                         msvcrt
import time:        32 |         32 |                         _posixsubprocess
import time:       708 |       2320 |                       subprocess
import time:       282 |        282 |                         shlex
import time:        82 |         82 |                             _wmi
import time:       619 |        701 |                           platform
import time:       148 |        148 |                           IPython.utils.encoding
import time:       460 |       1308 |                         IPython.utils.py3compat
import time:       260 |       1850 |                       IPython.utils._process_common
import time:       161 |       4330 |                     IPython.utils._process_posix
import time:       149 |       4478 |                   IPython.utils.process
import time:       302 |       5103 |                 IPython.utils.path
import time:       427 |        427 |                   pygments.styles.monokai
import time:       315 |        315 |                   pygments.styles.default
import time:       359 |        359 |                   pygments.styles.pastie
import time:       486 |        486 |                   pygments.styles.gruvbox
import time:     14298 |      15883 |                 IPython.utils.PyColorize
import time:       187 |        187 |                 IPython.utils.terminal
import time:       312 |        312 |                 IPython.core.display_trap
import time:       382 |        382 |                       pkgutil
import time:       483 |        483 |                       sysconfig
import time:       657 |        657 |                       _sysconfigdata__x86_64-linux-gnu
import time:      1959 |       3478 |                     pydoc
import time:       187 |        187 |                         codeop
import time:       263 |        450 |                       IPython.core.debugger_backport
import time:       223 |        223 |                         cmd
import time:       456 |        456 |                         bdb
import time:       211 |        211 |                         code
import time:       781 |       1671 |                       pdb
import time:       618 |       2737 |                     IPython.core.debugger
import time:       472 |       6687 |                   IPython.core.tbtools
import time:       303 |       6989 |                 IPython.core.doctb
import time:       586 |      62023 |               IPython.core.ultratb
import time:        88 |         88 |                 IPython.utils._sysinfo
import time:       173 |        260 |               IPython.utils.sysinfo
import time:       272 |      62554 |             IPython.core.crashhandler
import time:        99 |         99 |                 IPython.utils.importstring
import time:       184 |        282 |               IPython.paths
import time:       603 |        885 |             IPython.core.profiledir
import time:       866 |      92208 |           IPython.core.application
import time:       134 |        134 |             IPython.terminal
import time:      2138 |       2138 |                 _hashlib
import time:       716 |        716 |                 _blake2
import time:       280 |       3134 |               hashlib
import time:       183 |       3316 |             IPython.core.compilerop
import time:       193 |        193 |               IPython.core.error
import time:        99 |         99 |                 IPython.utils.docs
import time:       154 |        253 |               IPython.utils.decorators
import time:       698 |        698 |               IPython.utils.text
import time:       475 |       1618 |             IPython.core.magic_arguments
import time:       178 |        178 |               getopt
import time:       145 |        145 |                     IPython.core.display_functions
import time:        72 |         72 |                         _winapi
import time:        57 |         57 |                         winreg
import time:       290 |        417 |                       mimetypes
import time:       121 |        121 |                         IPython.testing
import time:       151 |        272 |                       IPython.testing.skipdoctest
import time:       576 |       1264 |                     IPython.core.display
import time:       110 |        110 |                       IPython.lib
import time:       583 |        692 |                     IPython.lib.display
import time:       163 |       2263 |                   IPython.display
import time:       131 |        131 |                   IPython.utils.data
import time:       485 |       2878 |                 IPython.core.page
import time:       571 |        571 |                 IPython.lib.pretty
import time:       357 |        357 |                 IPython.utils.openpy
import time:       115 |        115 |                 IPython.utils.dir2
import time:       168 |        168 |                 IPython.utils.wildcard
import time:      1396 |       1396 |                   pygments.lexers._mapping
import time:       357 |        357 |                   pygments.modeline
import time:       266 |       2018 |                 pygments.lexers
import time:       159 |        159 |                     pygments.filter
import time:       539 |        539 |                     pygments.filters
import time:       224 |        224 |                     pygments.regexopt
import time:       690 |       1611 |                   pygments.lexer
import time:       463 |        463 |                   pygments.unistring
import time:       991 |       3063 |                 pygments.lexers.python
import time:        82 |         82 |                   ctags
import time:       374 |        455 |                 pygments.formatters.html
import time:      2256 |      11879 |               IPython.core.oinspect
import time:       416 |        416 |                 IPython.utils.tokenutil
import time:      1395 |       1811 |               IPython.core.inputtransformer2
import time:       178 |        178 |               IPython.utils.ipstruct
import time:       881 |      14926 |             IPython.core.magic
import time:       108 |        108 |               runpy
import time:       135 |        135 |                 IPython.external
import time:        86 |         86 |                 cPickle
import time:       310 |        530 |               IPython.external.pickleshare
