import time: self [us] | cumulative | imported package
import time:       263 |        263 |   _io
import time:        56 |         56 |   marshal
import time:       331 |        331 |   posix
import time:       412 |       1060 | _frozen_importlib_external
import time:       101 |        101 |   time
import time:       113 |        213 | zipimport
import time:        69 |         69 |     _codecs
import time:       294 |        363 |   codecs
import time:       460 |        460 |   encodings.aliases
import time:       543 |       1365 | encodings
import time:       198 |        198 | encodings.utf_8
import time:        98 |         98 | _signal
import time:        31 |         31 |     _abc
import time:       118 |        149 |   abc
import time:       143 |        291 | io
import time:        41 |         41 |       _stat
import time:        58 |         99 |     stat
import time:       852 |        852 |     _collections_abc
import time:        53 |         53 |       genericpath
import time:        83 |        135 |     posixpath
import time:       369 |       1453 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       595 |        595 |   _virtualenv
import time:       266 |        266 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       131 |        190 |   sitecustomize
import time:      1305 |       3875 | site
import time:       162 |        162 |     __future__
import time:       311 |        311 |           types
import time:        95 |         95 |             _operator
import time:       402 |        496 |           operator
import time:       220 |        220 |               itertools
import time:       144 |        144 |               keyword
import time:       213 |        213 |               reprlib
import time:        80 |         80 |               _collections
import time:       835 |       1490 |             collections
import time:        65 |         65 |             _functools
import time:       653 |       2207 |           functools
import time:      1408 |       4420 |         enum
import time:        80 |         80 |           _sre
import time:       271 |        271 |             re._constants
import time:       519 |        790 |           re._parser
import time:       128 |        128 |           re._casefix
import time:       509 |       1505 |         re._compiler
import time:       189 |        189 |         copyreg
import time:       570 |       6683 |       re
import time:       158 |        158 |         collections.abc
import time:       184 |        184 |             token
import time:        45 |         45 |             _tokenize
import time:      1017 |       1246 |           tokenize
import time:       165 |       1410 |         linecache
import time:       973 |        973 |         textwrap
import time:       624 |        624 |         contextlib
import time:       674 |       3838 |       traceback
import time:      1216 |       1216 |       warnings
import time:       246 |        246 |         _weakrefset
import time:       485 |        731 |       weakref
import time:        41 |         41 |         _string
import time:       594 |        635 |       string
import time:       854 |        854 |       threading
import time:        59 |         59 |       atexit
import time:      2190 |      16201 |     logging
import time:       250 |        250 |       _datetime
import time:       150 |        399 |     datetime
import time:       243 |        243 |         _socket
import time:       103 |        103 |           math
import time:        65 |         65 |           select
import time:       698 |        865 |         selectors
import time:        80 |         80 |         errno
import time:       107 |        107 |         array
import time:      1677 |       2970 |       socket
import time:       204 |        204 |           _struct
import time:       158 |        362 |         struct
import time:       299 |        299 |         _compat_pickle
import time:       124 |        124 |         _pickle
import time:       979 |       1762 |       pickle
import time:        48 |         48 |           _heapq
import time:       205 |        252 |         heapq
import time:       225 |        225 |         _queue
import time:       371 |        848 |       queue
import time:       232 |        232 |       copy
import time:       849 |       6659 |     logging.handlers
import time:       167 |        167 |       fnmatch
import time:       118 |        118 |         urllib
import time:      1425 |       1425 |         ipaddress
import time:      1078 |       2620 |       urllib.parse
import time:       171 |        171 |         _winapi
import time:        59 |         59 |         nt
import time:        52 |         52 |         nt
import time:        51 |         51 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:       122 |        591 |       ntpath
import time:       850 |       4226 |     pathlib
import time:       168 |        168 |             IPython.core
import time:       182 |        349 |           IPython.core.getipython
import time:        92 |         92 |           IPython.core.release
import time:       111 |        111 |               zlib
import time:       229 |        229 |                 _compression
import time:       284 |        284 |                 _bz2
import time:       388 |        900 |               bz2
import time:       320 |        320 |                 _lzma
import time:       268 |        588 |               lzma
import time:       671 |       2269 |             shutil
import time:        68 |         68 |                     _typing
import time:      2827 |       2895 |                   typing
import time:      1354 |       1354 |                         _ast
import time:      1400 |       2754 |                       ast
import time:        41 |         41 |                           _opcode
import time:       483 |        524 |                         opcode
import time:       956 |       1480 |                       dis
import time:       190 |        190 |                         importlib
import time:        83 |        273 |                       importlib.machinery
import time:      2276 |       6782 |                     inspect
import time:       154 |        154 |                       traitlets.utils
import time:       206 |        359 |                     traitlets.utils.bunch
import time:       146 |        146 |                     traitlets.utils.descriptions
import time:       107 |        107 |                     traitlets.utils.getargspec
import time:        94 |         94 |                     traitlets.utils.importstring
import time:       110 |        110 |                     traitlets.utils.sentinel
import time:       126 |        126 |                     traitlets.utils.warnings
import time:      4017 |      11738 |                   traitlets.traitlets
import time:       287 |        287 |                   traitlets._version
import time:       169 |        169 |                   traitlets.utils.decorators
import time:       321 |      15408 |                 traitlets
import time:       215 |        215 |                         _json
import time:       498 |        713 |                       json.scanner
import time:       452 |       1164 |                     json.decoder
import time:       441 |        441 |                     json.encoder
import time:       229 |       1834 |                   json
import time:       663 |        663 |                     dataclasses
import time:       346 |       1008 |                   pprint
import time:       641 |        641 |                     socketserver
import time:      1335 |       1975 |                   logging.config
import time:       129 |        129 |                     traitlets.utils.text
import time:       847 |        847 |                         gettext
import time:      1044 |       1891 |                       argparse
import time:      1249 |       3140 |                     traitlets.config.loader
import time:       911 |       4178 |                   traitlets.config.configurable
import time:       146 |        146 |                   traitlets.utils.nested_update
import time:      1197 |      10336 |                 traitlets.config.application
import time:       154 |      25896 |               traitlets.config
import time:        23 |      25919 |             traitlets.config.application
import time:      1183 |       1183 |                       html.entities
import time:       439 |       1621 |                     html
import time:       227 |        227 |                         executing._utils
import time:       142 |        142 |                           executing._exceptions
import time:       483 |        624 |                         executing._position_node_finder
import time:       695 |       1545 |                       executing.executing
import time:       109 |        109 |                       executing._pytest_utils
import time:       102 |        102 |                       executing.version
import time:       318 |       2074 |                     executing
import time:        56 |         56 |                             _bisect
import time:       153 |        208 |                           bisect
import time:       204 |        412 |                         asttokens.line_numbers
import time:        81 |         81 |                               astroid
import time:        42 |        122 |                             astroid.nodes
import time:      1407 |       1528 |                           asttokens.util
import time:       280 |       1808 |                         asttokens.asttokens
import time:       144 |       2364 |                       asttokens
import time:        30 |       2394 |                     asttokens.util
import time:       509 |        509 |                                 numbers
import time:       800 |       1309 |                               _decimal
import time:       128 |       1436 |                             decimal
import time:      1685 |       1685 |                             fractions
import time:       331 |       3451 |                           pure_eval.utils
import time:       188 |       3638 |                         pure_eval.my_getattr_static
import time:       429 |       4067 |                       pure_eval.core
import time:       117 |        117 |                       pure_eval.version
import time:       176 |       4360 |                     pure_eval
import time:       459 |        459 |                     stack_data.utils
import time:      1437 |      12342 |                   stack_data.core
import time:       320 |        320 |                   stack_data.formatting
import time:       257 |        257 |                   stack_data.serializing
import time:       107 |        107 |                   stack_data.version
import time:       255 |      13279 |                 stack_data
import time:       146 |        146 |                     pygments
import time:       288 |        288 |                     pygments.formatters._mapping
import time:        77 |         77 |                           _csv
import time:       362 |        439 |                         csv
import time:       149 |        149 |                         email
import time:        86 |         86 |                           binascii
import time:       146 |        146 |                             importlib._abc
import time:       146 |        292 |                           importlib.util
import time:       137 |        137 |                             zipfile._path.glob
import time:       390 |        526 |                           zipfile._path
import time:      1021 |       1923 |                         zipfile
import time:       186 |        186 |                             quopri
import time:        64 |         64 |                                 _random
import time:        75 |         75 |                                 _sha2
import time:       399 |        537 |                               random
import time:       109 |        109 |                                     _locale
import time:      1526 |       1634 |                                   locale
import time:       982 |       2616 |                                 calendar
import time:       294 |       2909 |                               email._parseaddr
import time:       384 |        384 |                                   base64
import time:       136 |        520 |                                 email.base64mime
import time:       252 |        252 |                                 email.quoprimime
import time:       658 |        658 |                                 email.errors
import time:       138 |        138 |                                 email.encoders
import time:       270 |       1835 |                               email.charset
import time:       526 |       5805 |                             email.utils
import time:       687 |        687 |                               email.header
import time:       335 |       1021 |                             email._policybase
import time:       278 |        278 |                             email._encoded_words
import time:       142 |        142 |                             email.iterators
import time:       692 |       8122 |                           email.message
import time:        95 |         95 |                             importlib.metadata._functools
import time:       161 |        256 |                           importlib.metadata._text
import time:       390 |       8767 |                         importlib.metadata._adapters
import time:       399 |        399 |                         importlib.metadata._meta
import time:       271 |        271 |                         importlib.metadata._collections
import time:       115 |        115 |                         importlib.metadata._itertools
import time:       601 |        601 |                               tempfile
import time:       382 |        382 |                               importlib.resources.abc
import time:       331 |        331 |                               importlib.resources._adapters
import time:       440 |       1753 |                             importlib.resources._common
import time:       222 |        222 |                             importlib.resources._legacy
import time:       134 |       2108 |                           importlib.resources
import time:       434 |       2542 |                         importlib.abc
import time:      1345 |      15944 |                       importlib.metadata
import time:       134 |      16078 |                     pygments.plugin
import time:       784 |        784 |                     pygments.util
import time:       261 |      17556 |                   pygments.formatters
import time:       185 |        185 |                       pygments.styles._mapping
import time:       168 |        353 |                     pygments.styles
import time:       153 |        505 |                   pygments.formatter
import time:       146 |        146 |                   pygments.console
import time:       424 |        424 |                     pygments.token
import time:       324 |        748 |                   pygments.style
import time:       271 |      19222 |                 pygments.formatters.terminal256
import time:       140 |        140 |                 IPython.utils
import time:       348 |        348 |                   glob
import time:      1425 |       1425 |                         signal
import time:        73 |         73 |                         fcntl
import time:        75 |         75 |                         msvcrt
import time:        31 |         31 |                         _posixsubprocess
import time:       700 |       2301 |                       subprocess
import time:       290 |        290 |                         shlex
import time:        78 |         78 |                             _wmi
import time:       618 |        695 |                           platform
import time:       155 |        155 |                           IPython.utils.encoding
import time:       438 |       1287 |                         IPython.utils.py3compat
import time:       236 |       1812 |                       IPython.utils._process_common
import time:       176 |       4288 |                     IPython.utils._process_posix
import time:       159 |       4446 |                   IPython.utils.process
import time:       269 |       5062 |                 IPython.utils.path
import time:       455 |        455 |                   pygments.styles.monokai
import time:       332 |        332 |                   pygments.styles.default
import time:       383 |        383 |                   pygments.styles.pastie
import time:       524 |        524 |                   pygments.styles.gruvbox
import time:     14678 |      16370 |                 IPython.utils.PyColorize
import time:       221 |        221 |                 IPython.utils.terminal
import time:       355 |        355 |                 IPython.core.display_trap
import time:       411 |        411 |                       pkgutil
import time:       496 |        496 |                       sysconfig
import time:       635 |        635 |                       _sysconfigdata__x86_64-linux-gnu
import time:      2048 |       3588 |                     pydoc
import time:       192 |        192 |                         codeop
import time:       267 |        459 |                       IPython.core.debugger_backport
import time:       233 |        233 |                         cmd
import time:       462 |        462 |                         bdb
import time:       240 |        240 |                         code
import time:       861 |       1795 |                       pdb
import time:       638 |       2891 |                     IPython.core.debugger
import time:       533 |       7011 |                   IPython.core.tbtools
import time:       340 |       7350 |                 IPython.core.doctb
import time:       658 |      62652 |               IPython.core.ultratb
import time:        92 |         92 |                 IPython.utils._sysinfo
import time:       174 |        265 |               IPython.utils.sysinfo
import time:       296 |      63212 |             IPython.core.crashhandler
import time:       115 |        115 |                 IPython.utils.importstring
import time:       193 |        307 |               IPython.paths
import time:       677 |        984 |             IPython.core.profiledir
import time:       908 |      93289 |           IPython.core.application
import time:       137 |        137 |             IPython.terminal
import time:      2251 |       2251 |                 _hashlib
import time:       877 |        877 |                 _blake2
import time:       314 |       3441 |               hashlib
import time:       202 |       3642 |             IPython.core.compilerop
import time:       225 |        225 |               IPython.core.error
import time:        96 |         96 |                 IPython.utils.docs
import time:       143 |        239 |               IPython.utils.decorators
import time:       693 |        693 |               IPython.utils.text
import time:       479 |       1634 |             IPython.core.magic_arguments
import time:       174 |        174 |               getopt
import time:       157 |        157 |                     IPython.core.display_functions
import time:        81 |         81 |                         _winapi
import time:        60 |         60 |                         winreg
import time:       358 |        498 |                       mimetypes
import time:       118 |        118 |                         IPython.testing
import time:       170 |        288 |                       IPython.testing.skipdoctest
import time:       597 |       1382 |                     IPython.core.display
import time:       107 |        107 |                       IPython.lib
import time:       627 |        734 |                     IPython.lib.display
import time:       170 |       2442 |                   IPython.display
import time:       133 |        133 |                   IPython.utils.data
import time:       474 |       3048 |                 IPython.core.page
import time:       575 |        575 |                 IPython.lib.pretty
import time:       358 |        358 |                 IPython.utils.openpy
import time:       113 |        113 |                 IPython.utils.dir2
import time:       173 |        173 |                 IPython.utils.wildcard
import time:      1485 |       1485 |                   pygments.lexers._mapping
import time:       371 |        371 |                   pygments.modeline
import time:       266 |       2122 |                 pygments.lexers
