import time: self [us] | cumulative | imported package
import time:       268 |        268 |   _io
import time:        39 |         39 |   marshal
import time:       363 |        363 |   posix
import time:       332 |       1001 | _frozen_importlib_external
import time:        89 |         89 |   time
import time:       110 |        199 | zipimport
import time:        56 |         56 |     _codecs
import time:       293 |        348 |   codecs
import time:       452 |        452 |   encodings.aliases
import time:       517 |       1316 | encodings
import time:       190 |        190 | encodings.utf_8
import time:        98 |         98 | _signal
import time:        31 |         31 |     _abc
import time:       116 |        146 |   abc
import time:       144 |        289 | io
import time:        40 |         40 |       _stat
import time:        60 |        100 |     stat
import time:       900 |        900 |     _collections_abc
import time:        62 |         62 |       genericpath
import time:        83 |        144 |     posixpath
import time:       350 |       1492 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       604 |        604 |   _virtualenv
import time:       295 |        295 |   _distutils_hack
import time:        77 |         77 |     apport_python_hook
import time:       136 |        213 |   sitecustomize
import time:      1362 |       4033 | site
import time:       159 |        159 |     __future__
import time:       302 |        302 |           types
import time:       101 |        101 |             _operator
import time:       407 |        507 |           operator
import time:       215 |        215 |               itertools
import time:       148 |        148 |               keyword
import time:       204 |        204 |               reprlib
import time:        77 |         77 |               _collections
import time:       856 |       1498 |             collections
import time:        63 |         63 |             _functools
import time:       683 |       2242 |           functools
import time:      1442 |       4492 |         enum
import time:        78 |         78 |           _sre
import time:       273 |        273 |             re._constants
import time:       502 |        774 |           re._parser
import time:       120 |        120 |           re._casefix
import time:       470 |       1440 |         re._compiler
import time:       173 |        173 |         copyreg
import time:       542 |       6646 |       re
import time:       153 |        153 |         collections.abc
import time:       201 |        201 |             token
import time:        44 |         44 |             _tokenize
import time:      1007 |       1251 |           tokenize
import time:       147 |       1397 |         linecache
import time:      1051 |       1051 |         textwrap
import time:       656 |        656 |         contextlib
import time:       642 |       3897 |       traceback
import time:      1149 |       1149 |       warnings
import time:       220 |        220 |         _weakrefset
import time:       459 |        679 |       weakref
import time:        55 |         55 |         _string
import time:       585 |        639 |       string
import time:       816 |        816 |       threading
import time:        60 |         60 |       atexit
import time:      2186 |      16067 |     logging
import time:       213 |        213 |       _datetime
import time:       149 |        361 |     datetime
