import time: self [us] | cumulative | imported package
import time:       403 |        403 |   _io
import time:        56 |         56 |   marshal
import time:       526 |        526 |   posix
import time:       505 |       1488 | _frozen_importlib_external
import time:       135 |        135 |   time
import time:       157 |        292 | zipimport
import time:        94 |         94 |     _codecs
import time:       477 |        570 |   codecs
import time:       478 |        478 |   encodings.aliases
import time:       855 |       1902 | encodings
import time:       219 |        219 | encodings.utf_8
import time:       136 |        136 | _signal
import time:        34 |         34 |     _abc
import time:       135 |        169 |   abc
import time:       147 |        315 | io
import time:        41 |         41 |       _stat
import time:        57 |         98 |     stat
import time:       810 |        810 |     _collections_abc
import time:        48 |         48 |       genericpath
import time:        80 |        127 |     posixpath
import time:       344 |       1378 |   os
import time:        68 |         68 |   _sitebuiltins
import time:       603 |        603 |   _virtualenv
import time:       252 |        252 |   _distutils_hack
import time:        57 |         57 |     apport_python_hook
import time:       129 |        186 |   sitecustomize
import time:      1294 |       3777 | site
import time:       184 |        184 |     __future__
import time:       275 |        275 |           types
import time:       201 |        201 |             _operator
import time:       319 |        519 |           operator
import time:       205 |        205 |               itertools
import time:       150 |        150 |               keyword
import time:       201 |        201 |               reprlib
import time:       107 |        107 |               _collections
import time:       974 |       1634 |             collections
import time:        63 |         63 |             _functools
import time:       736 |       2432 |           functools
import time:      1335 |       4560 |         enum
import time:        76 |         76 |           _sre
import time:       376 |        376 |             re._constants
import time:       591 |        967 |           re._parser
import time:       144 |        144 |           re._casefix
import time:       374 |       1559 |         re._compiler
import time:       196 |        196 |         copyreg
import time:       648 |       6961 |       re
import time:       173 |        173 |         collections.abc
import time:       176 |        176 |             token
import time:        55 |         55 |             _tokenize
import time:      1791 |       2020 |           tokenize
import time:       177 |       2197 |         linecache
import time:       962 |        962 |         textwrap
import time:       587 |        587 |         contextlib
import time:       607 |       4523 |       traceback
import time:       386 |        386 |       warnings
import time:       262 |        262 |         _weakrefset
import time:       460 |        721 |       weakref
import time:        42 |         42 |         _string
import time:       606 |        647 |       string
import time:       747 |        747 |       threading
import time:        58 |         58 |       atexit
import time:      2598 |      16639 |     logging
import time:       204 |        204 |       _datetime
import time:       150 |        354 |     datetime
import time:       236 |        236 |         _socket
