import time: self [us] | cumulative | imported package
import time:       257 |        257 |   _io
import time:        37 |         37 |   marshal
import time:       319 |        319 |   posix
import time:       327 |        939 | _frozen_importlib_external
import time:        91 |         91 |   time
import time:       104 |        194 | zipimport
import time:        57 |         57 |     _codecs
import time:       308 |        365 |   codecs
import time:       439 |        439 |   encodings.aliases
import time:       494 |       1297 | encodings
import time:       210 |        210 | encodings.utf_8
import time:       111 |        111 | _signal
import time:        30 |         30 |     _abc
import time:       114 |        144 |   abc
import time:       145 |        289 | io
import time:        41 |         41 |       _stat
import time:        56 |         96 |     stat
import time:       871 |        871 |     _collections_abc
import time:        49 |         49 |       genericpath
import time:        77 |        126 |     posixpath
import time:       357 |       1448 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       610 |        610 |   _virtualenv
import time:       251 |        251 |   _distutils_hack
import time:        56 |         56 |     apport_python_hook
import time:       126 |        182 |   sitecustomize
import time:      1271 |       3829 | site
import time:       138 |        138 |     __future__
import time:       278 |        278 |           types
import time:       156 |        156 |             _operator
import time:       389 |        544 |           operator
import time:       274 |        274 |               itertools
import time:       150 |        150 |               keyword
import time:       192 |        192 |               reprlib
import time:        79 |         79 |               _collections
import time:       800 |       1493 |             collections
import time:        81 |         81 |             _functools
import time:       646 |       2219 |           functools
import time:      1408 |       4447 |         enum
import time:        77 |         77 |           _sre
import time:       289 |        289 |             re._constants
import time:       496 |        785 |           re._parser
import time:       128 |        128 |           re._casefix
import time:       457 |       1446 |         re._compiler
import time:       196 |        196 |         copyreg
import time:       520 |       6608 |       re
import time:       150 |        150 |         collections.abc
import time:       175 |        175 |             token
import time:        42 |         42 |             _tokenize
import time:      1027 |       1243 |           tokenize
import time:       153 |       1395 |         linecache
import time:       961 |        961 |         textwrap
import time:       607 |        607 |         contextlib
import time:       636 |       3747 |       traceback
import time:      1165 |       1165 |       warnings
import time:       214 |        214 |         _weakrefset
import time:       494 |        708 |       weakref
import time:        44 |         44 |         _string
import time:       621 |        665 |       string
import time:       759 |        759 |       threading
import time:        58 |         58 |       atexit
import time:      2089 |      15794 |     logging
import time:       208 |        208 |       _datetime
import time:       146 |        354 |     datetime
import time:       261 |        261 |         _socket
import time:        87 |         87 |           math
import time:        62 |         62 |           select
import time:       668 |        816 |         selectors
import time:        95 |         95 |         errno
import time:       100 |        100 |         array
import time:      1588 |       2857 |       socket
import time:       213 |        213 |           _struct
import time:       144 |        356 |         struct
import time:       299 |        299 |         _compat_pickle
import time:       129 |        129 |         _pickle
import time:       930 |       1713 |       pickle
import time:        47 |         47 |           _heapq
import time:       197 |        244 |         heapq
import time:       216 |        216 |         _queue
import time:       318 |        776 |       queue
import time:       256 |        256 |       copy
import time:       811 |       6410 |     logging.handlers
import time:       167 |        167 |       fnmatch
import time:       122 |        122 |         urllib
import time:      1437 |       1437 |         ipaddress
import time:      1019 |       2576 |       urllib.parse
import time:       154 |        154 |         _winapi
import time:        59 |         59 |         nt
import time:        52 |         52 |         nt
import time:        52 |         52 |         nt
import time:        48 |         48 |         nt
import time:        47 |         47 |         nt
import time:        46 |         46 |         nt
import time:       119 |        574 |       ntpath
import time:       864 |       4180 |     pathlib
import time:       179 |        179 |             IPython.core
import time:       182 |        361 |           IPython.core.getipython
import time:        93 |         93 |           IPython.core.release
import time:        97 |         97 |               zlib
import time:       210 |        210 |                 _compression
import time:       267 |        267 |                 _bz2
import time:       400 |        876 |               bz2
import time:       308 |        308 |                 _lzma
import time:       273 |        581 |               lzma
import time:       765 |       2317 |             shutil
import time:        54 |         54 |                     _typing
import time:      2685 |       2738 |                   typing
import time:      1256 |       1256 |                         _ast
import time:      1372 |       2628 |                       ast
import time:        41 |         41 |                           _opcode
import time:       487 |        528 |                         opcode
import time:       928 |       1455 |                       dis
import time:       170 |        170 |                         importlib
import time:        73 |        243 |                       importlib.machinery
import time:      2279 |       6603 |                     inspect
import time:       149 |        149 |                       traitlets.utils
import time:       205 |        353 |                     traitlets.utils.bunch
import time:       131 |        131 |                     traitlets.utils.descriptions
import time:       127 |        127 |                     traitlets.utils.getargspec
import time:        98 |         98 |                     traitlets.utils.importstring
import time:       110 |        110 |                     traitlets.utils.sentinel
import time:       109 |        109 |                     traitlets.utils.warnings
import time:      3998 |      11527 |                   traitlets.traitlets
import time:       259 |        259 |                   traitlets._version
import time:       178 |        178 |                   traitlets.utils.decorators
import time:       310 |      15011 |                 traitlets
import time:       198 |        198 |                         _json
import time:       479 |        676 |                       json.scanner
import time:       446 |       1122 |                     json.decoder
import time:       455 |        455 |                     json.encoder
import time:       212 |       1788 |                   json
import time:       644 |        644 |                     dataclasses
import time:       345 |        988 |                   pprint
import time:       641 |        641 |                     socketserver
import time:      1344 |       1984 |                   logging.config
import time:       114 |        114 |                     traitlets.utils.text
import time:       831 |        831 |                         gettext
import time:       968 |       1799 |                       argparse
import time:      1296 |       3094 |                     traitlets.config.loader
import time:       902 |       4109 |                   traitlets.config.configurable
import time:       136 |        136 |                   traitlets.utils.nested_update
import time:      1130 |      10133 |                 traitlets.config.application
import time:       219 |      25362 |               traitlets.config
import time:        25 |      25386 |             traitlets.config.application
import time:      1199 |       1199 |                       html.entities
import time:       408 |       1606 |                     html
import time:       242 |        242 |                         executing._utils
import time:       137 |        137 |                           executing._exceptions
import time:       464 |        600 |                         executing._position_node_finder
import time:       792 |       1633 |                       executing.executing
import time:       113 |        113 |                       executing._pytest_utils
import time:        87 |         87 |                       executing.version
import time:       327 |       2159 |                     executing
import time:        54 |         54 |                             _bisect
import time:       134 |        187 |                           bisect
import time:       200 |        387 |                         asttokens.line_numbers
import time:        81 |         81 |                               astroid
import time:        42 |        122 |                             astroid.nodes
import time:      1391 |       1512 |                           asttokens.util
import time:       296 |       1808 |                         asttokens.asttokens
import time:       141 |       2335 |                       asttokens
import time:        18 |       2353 |                     asttokens.util
import time:       490 |        490 |                                 numbers
import time:       714 |       1203 |                               _decimal
import time:       127 |       1330 |                             decimal
import time:      1687 |       1687 |                             fractions
import time:       310 |       3326 |                           pure_eval.utils
import time:       175 |       3500 |                         pure_eval.my_getattr_static
import time:       431 |       3931 |                       pure_eval.core
import time:       119 |        119 |                       pure_eval.version
import time:       177 |       4226 |                     pure_eval
import time:       455 |        455 |                     stack_data.utils
import time:      1406 |      12202 |                   stack_data.core
import time:       307 |        307 |                   stack_data.formatting
import time:       256 |        256 |                   stack_data.serializing
import time:       121 |        121 |                   stack_data.version
import time:       249 |      13134 |                 stack_data
import time:       145 |        145 |                     pygments
import time:       291 |        291 |                     pygments.formatters._mapping
import time:        91 |         91 |                           _csv
import time:       375 |        466 |                         csv
import time:       151 |        151 |                         email
import time:        90 |         90 |                           binascii
import time:       168 |        168 |                             importlib._abc
import time:       134 |        302 |                           importlib.util
import time:       133 |        133 |                             zipfile._path.glob
import time:       378 |        511 |                           zipfile._path
import time:      1023 |       1925 |                         zipfile
import time:       207 |        207 |                             quopri
import time:        51 |         51 |                                 _random
import time:        62 |         62 |                                 _sha2
import time:       413 |        525 |                               random
import time:       111 |        111 |                                     _locale
import time:      1506 |       1617 |                                   locale
import time:      1000 |       2616 |                                 calendar
import time:       272 |       2887 |                               email._parseaddr
import time:       379 |        379 |                                   base64
import time:       133 |        511 |                                 email.base64mime
import time:       246 |        246 |                                 email.quoprimime
import time:       645 |        645 |                                 email.errors
import time:       138 |        138 |                                 email.encoders
import time:       252 |       1789 |                               email.charset
import time:       499 |       5698 |                             email.utils
import time:       706 |        706 |                               email.header
import time:       320 |       1025 |                             email._policybase
import time:       276 |        276 |                             email._encoded_words
import time:       151 |        151 |                             email.iterators
import time:       676 |       8030 |                           email.message
import time:        95 |         95 |                             importlib.metadata._functools
import time:       164 |        259 |                           importlib.metadata._text
import time:       385 |       8674 |                         importlib.metadata._adapters
import time:       426 |        426 |                         importlib.metadata._meta
import time:       283 |        283 |                         importlib.metadata._collections
import time:       117 |        117 |                         importlib.metadata._itertools
import time:       581 |        581 |                               tempfile
import time:       373 |        373 |                               importlib.resources.abc
import time:       358 |        358 |                               importlib.resources._adapters
import time:       417 |       1728 |                             importlib.resources._common
import time:       222 |        222 |                             importlib.resources._legacy
import time:       130 |       2079 |                           importlib.resources
import time:       372 |       2450 |                         importlib.abc
import time:      1370 |      15858 |                       importlib.metadata
import time:       143 |      16000 |                     pygments.plugin
import time:       789 |        789 |                     pygments.util
import time:       273 |      17496 |                   pygments.formatters
import time:       190 |        190 |                       pygments.styles._mapping
import time:       192 |        382 |                     pygments.styles
import time:       140 |        522 |                   pygments.formatter
import time:       133 |        133 |                   pygments.console
import time:       421 |        421 |                     pygments.token
import time:       312 |        733 |                   pygments.style
import time:       270 |      19152 |                 pygments.formatters.terminal256
import time:       131 |        131 |                 IPython.utils
import time:       306 |        306 |                   glob
import time:      1476 |       1476 |                         signal
import time:        74 |         74 |                         fcntl
import time:        75 |         75 |                         msvcrt
import time:        32 |         32 |                         _posixsubprocess
import time:       656 |       2311 |                       subprocess
import time:       262 |        262 |                         shlex
import time:        75 |         75 |                             _wmi
import time:       623 |        698 |                           platform
import time:       137 |        137 |                           IPython.utils.encoding
import time:       476 |       1310 |                         IPython.utils.py3compat
import time:       237 |       1808 |                       IPython.utils._process_common
import time:       165 |       4283 |                     IPython.utils._process_posix
import time:       185 |       4468 |                   IPython.utils.process
import time:       273 |       5046 |                 IPython.utils.path
import time:       417 |        417 |                   pygments.styles.monokai
import time:       353 |        353 |                   pygments.styles.default
import time:       355 |        355 |                   pygments.styles.pastie
import time:       517 |        517 |                   pygments.styles.gruvbox
import time:     14254 |      15893 |                 IPython.utils.PyColorize
import time:       167 |        167 |                 IPython.utils.terminal
import time:       300 |        300 |                 IPython.core.display_trap
import time:       354 |        354 |                       pkgutil
import time:       505 |        505 |                       sysconfig
import time:       604 |        604 |                       _sysconfigdata__x86_64-linux-gnu
import time:      1899 |       3361 |                     pydoc
import time:       174 |        174 |                         codeop
import time:       264 |        437 |                       IPython.core.debugger_backport
import time:       231 |        231 |                         cmd
import time:       420 |        420 |                         bdb
import time:       237 |        237 |                         code
import time:       785 |       1671 |                       pdb
import time:       657 |       2765 |                     IPython.core.debugger
import time:       481 |       6605 |                   IPython.core.tbtools
import time:       316 |       6921 |                 IPython.core.doctb
import time:       582 |      61322 |               IPython.core.ultratb
import time:        94 |         94 |                 IPython.utils._sysinfo
import time:       178 |        271 |               IPython.utils.sysinfo
import time:       287 |      61879 |             IPython.core.crashhandler
import time:       103 |        103 |                 IPython.utils.importstring
import time:       190 |        293 |               IPython.paths
import time:       617 |        909 |             IPython.core.profiledir
import time:       898 |      91388 |           IPython.core.application
import time:       164 |        164 |             IPython.terminal
import time:      2155 |       2155 |                 _hashlib
import time:       707 |        707 |                 _blake2
import time:       280 |       3140 |               hashlib
import time:       190 |       3330 |             IPython.core.compilerop
import time:       229 |        229 |               IPython.core.error
import time:        93 |         93 |                 IPython.utils.docs
import time:       134 |        226 |               IPython.utils.decorators
import time:       669 |        669 |               IPython.utils.text
import time:       438 |       1561 |             IPython.core.magic_arguments
import time:       167 |        167 |               getopt
import time:       159 |        159 |                     IPython.core.display_functions
import time:        69 |         69 |                         _winapi
import time:        57 |         57 |                         winreg
import time:       298 |        423 |                       mimetypes
import time:       113 |        113 |                         IPython.testing
import time:       176 |        289 |                       IPython.testing.skipdoctest
import time:       576 |       1286 |                     IPython.core.display
import time:       115 |        115 |                       IPython.lib
import time:       574 |        689 |                     IPython.lib.display
import time:       169 |       2302 |                   IPython.display
import time:       130 |        130 |                   IPython.utils.data
import time:       415 |       2845 |                 IPython.core.page
import time:       547 |        547 |                 IPython.lib.pretty
import time:       337 |        337 |                 IPython.utils.openpy
import time:       135 |        135 |                 IPython.utils.dir2
import time:       166 |        166 |                 IPython.utils.wildcard
import time:      1394 |       1394 |                   pygments.lexers._mapping
import time:       387 |        387 |                   pygments.modeline
import time:       266 |       2045 |                 pygments.lexers
import time:       165 |        165 |                     pygments.filter
import time:       495 |        495 |                     pygments.filters
import time:       223 |        223 |                     pygments.regexopt
import time:       646 |       1527 |                   pygments.lexer
import time:       397 |        397 |                   pygments.unistring
import time:       955 |       2878 |                 pygments.lexers.python
import time:        73 |         73 |                   ctags
import time:       342 |        415 |                 pygments.formatters.html
import time:      2282 |      11647 |               IPython.core.oinspect
import time:       425 |        425 |                 IPython.utils.tokenutil
import time:      1447 |       1871 |               IPython.core.inputtransformer2
import time:       193 |        193 |               IPython.utils.ipstruct
import time:       921 |      14797 |             IPython.core.magic
import time:       106 |        106 |               runpy
import time:       123 |        123 |                 IPython.external
import time:        76 |         76 |                 cPickle
import time:       305 |        503 |               IPython.external.pickleshare
import time:       237 |        237 |               IPython.core.hooks
import time:       171 |        171 |                 IPython.core.autocall
import time:       243 |        243 |                 IPython.core.macro
import time:       436 |        436 |                 IPython.core.splitinput
import time:      2631 |       3479 |               IPython.core.prefilter
import time:       586 |        586 |               IPython.core.alias
import time:       307 |        307 |               IPython.core.builtin_trap
import time:       595 |        595 |                   decorator
import time:       713 |        713 |                       _sqlite3
import time:       303 |       1016 |                     sqlite3.dbapi2
import time:       207 |       1223 |                   sqlite3
import time:      2794 |       4611 |                 IPython.core.history
import time:       421 |       5031 |               IPython.core.displayhook
import time:       461 |        461 |               IPython.core.displaypub
import time:       173 |        173 |               IPython.core.events
import time:       278 |        278 |               IPython.core.extensions
import time:       119 |        119 |                 IPython.utils.sentinel
import time:      2773 |       2891 |               IPython.core.formatters
import time:       229 |        229 |               IPython.core.logger
import time:       263 |        263 |               IPython.core.payload
import time:       154 |        154 |               IPython.core.tips
import time:       118 |        118 |               IPython.core.usage
import time:      1291 |       1291 |                 IPython.utils.capture
import time:       159 |       1450 |               IPython.utils.io
import time:       157 |        157 |               IPython.utils.strdispatch
import time:       171 |        171 |               IPython.utils.syspathcontext
import time:        71 |         71 |                 docrepr
import time:        26 |         97 |               docrepr.sphinxify
import time:       173 |        173 |                       concurrent
import time:       794 |        794 |                       concurrent.futures._base
import time:       249 |       1215 |                     concurrent.futures
import time:      1510 |       1510 |                       _ssl
import time:      2590 |       4099 |                     ssl
import time:       241 |        241 |                     asyncio.constants
import time:       162 |        162 |                     asyncio.coroutines
import time:       154 |        154 |                         _contextvars
import time:       139 |        292 |                       contextvars
import time:       139 |        139 |                       asyncio.format_helpers
import time:       150 |        150 |                         asyncio.base_futures
import time:       209 |        209 |                         asyncio.exceptions
import time:       135 |        135 |                         asyncio.base_tasks
import time:       463 |        956 |                       _asyncio
import time:       551 |       1936 |                     asyncio.events
import time:       246 |        246 |                     asyncio.futures
import time:       213 |        213 |                     asyncio.protocols
import time:       298 |        298 |                       asyncio.transports
import time:       111 |        111 |                       asyncio.log
import time:       786 |       1194 |                     asyncio.sslproto
import time:       119 |        119 |                         asyncio.mixins
import time:       503 |        622 |                       asyncio.locks
import time:       417 |        417 |                         asyncio.timeouts
import time:       508 |        924 |                       asyncio.tasks
import time:       324 |       1870 |                     asyncio.staggered
import time:       162 |        162 |                     asyncio.trsock
import time:      1206 |      12539 |                   asyncio.base_events
import time:       332 |        332 |                   asyncio.runners
import time:       299 |        299 |                   asyncio.queues
import time:       452 |        452 |                   asyncio.streams
import time:       268 |        268 |                   asyncio.subprocess
import time:       191 |        191 |                   asyncio.taskgroups
import time:       106 |        106 |                   asyncio.threads
import time:       272 |        272 |                     asyncio.base_subprocess
