import time: self [us] | cumulative | imported package
import time:       274 |        274 |   _io
import time:        40 |         40 |   marshal
import time:       388 |        388 |   posix
import time:       350 |       1051 | _frozen_importlib_external
import time:        92 |         92 |   time
import time:       144 |        236 | zipimport
import time:        56 |         56 |     _codecs
import time:       307 |        363 |   codecs
import time:       514 |        514 |   encodings.aliases
import time:       568 |       1444 | encodings
import time:       195 |        195 | encodings.utf_8
import time:        96 |         96 | _signal
import time:        31 |         31 |     _abc
import time:       116 |        146 |   abc
import time:       142 |        288 | io
import time:        59 |         59 |       _stat
import time:        60 |        119 |     stat
import time:       824 |        824 |     _collections_abc
import time:        50 |         50 |       genericpath
import time:       113 |        162 |     posixpath
import time:       361 |       1464 |   os
import time:       106 |        106 |   _sitebuiltins
import time:       647 |        647 |   _virtualenv
import time:       336 |        336 |   _distutils_hack
import time:        99 |         99 |     apport_python_hook
import time:       158 |        256 |   sitecustomize
import time:      1414 |       4220 | site
import time:       161 |        161 |     __future__
import time:       304 |        304 |           types
import time:       105 |        105 |             _operator
import time:       451 |        556 |           operator
import time:       258 |        258 |               itertools
import time:       153 |        153 |               keyword
import time:       206 |        206 |               reprlib
import time:        83 |         83 |               _collections
import time:       883 |       1581 |             collections
import time:        68 |         68 |             _functools
import time:       688 |       2336 |           functools
import time:      1586 |       4780 |         enum
import time:        80 |         80 |           _sre
import time:       283 |        283 |             re._constants
import time:       533 |        816 |           re._parser
import time:       132 |        132 |           re._casefix
import time:       481 |       1507 |         re._compiler
import time:       207 |        207 |         copyreg
import time:       589 |       7081 |       re
import time:       268 |        268 |         collections.abc
import time:       379 |        379 |             token
import time:        50 |         50 |             _tokenize
import time:      1233 |       1660 |           tokenize
import time:       225 |       1885 |         linecache
import time:      1044 |       1044 |         textwrap
import time:       670 |        670 |         contextlib
import time:       793 |       4658 |       traceback
import time:      1335 |       1335 |       warnings
import time:       318 |        318 |         _weakrefset
import time:       579 |        897 |       weakref
import time:        45 |         45 |         _string
import time:       667 |        711 |       string
import time:       783 |        783 |       threading
import time:        57 |         57 |       atexit
import time:      2193 |      17710 |     logging
import time:       225 |        225 |       _datetime
import time:       151 |        375 |     datetime
import time:       336 |        336 |         _socket
import time:        91 |         91 |           math
import time:        64 |         64 |           select
import time:       714 |        868 |         selectors
import time:        98 |         98 |         errno
import time:       137 |        137 |         array
import time:      2169 |       3606 |       socket
import time:       193 |        193 |           _struct
import time:       155 |        348 |         struct
import time:       313 |        313 |         _compat_pickle
import time:       119 |        119 |         _pickle
import time:       960 |       1739 |       pickle
import time:        50 |         50 |           _heapq
import time:       224 |        273 |         heapq
import time:       213 |        213 |         _queue
import time:       317 |        802 |       queue
import time:       212 |        212 |       copy
import time:       906 |       7263 |     logging.handlers
import time:       164 |        164 |       fnmatch
import time:       123 |        123 |         urllib
import time:      1619 |       1619 |         ipaddress
import time:      1222 |       2963 |       urllib.parse
import time:       170 |        170 |         _winapi
import time:        63 |         63 |         nt
import time:        55 |         55 |         nt
import time:        55 |         55 |         nt
import time:        50 |         50 |         nt
import time:        49 |         49 |         nt
import time:        49 |         49 |         nt
import time:       132 |        620 |       ntpath
import time:       904 |       4649 |     pathlib
import time:       163 |        163 |             IPython.core
import time:       192 |        355 |           IPython.core.getipython
import time:       103 |        103 |           IPython.core.release
import time:       104 |        104 |               zlib
import time:       226 |        226 |                 _compression
import time:       345 |        345 |                 _bz2
import time:       400 |        970 |               bz2
import time:       331 |        331 |                 _lzma
import time:       317 |        647 |               lzma
import time:       763 |       2482 |             shutil
import time:        56 |         56 |                     _typing
import time:      2877 |       2932 |                   typing
import time:      1270 |       1270 |                         _ast
import time:      1394 |       2664 |                       ast
import time:        44 |         44 |                           _opcode
import time:       482 |        526 |                         opcode
import time:       968 |       1494 |                       dis
import time:       168 |        168 |                         importlib
import time:        71 |        239 |                       importlib.machinery
import time:      2333 |       6729 |                     inspect
import time:       156 |        156 |                       traitlets.utils
import time:       203 |        358 |                     traitlets.utils.bunch
import time:       128 |        128 |                     traitlets.utils.descriptions
import time:       108 |        108 |                     traitlets.utils.getargspec
import time:       137 |        137 |                     traitlets.utils.importstring
import time:       116 |        116 |                     traitlets.utils.sentinel
import time:       110 |        110 |                     traitlets.utils.warnings
import time:      4272 |      11955 |                   traitlets.traitlets
import time:       291 |        291 |                   traitlets._version
import time:       205 |        205 |                   traitlets.utils.decorators
import time:       313 |      15694 |                 traitlets
import time:       194 |        194 |                         _json
import time:       494 |        687 |                       json.scanner
import time:       415 |       1102 |                     json.decoder
import time:       463 |        463 |                     json.encoder
import time:       204 |       1767 |                   json
import time:       646 |        646 |                     dataclasses
import time:       344 |        990 |                   pprint
import time:       655 |        655 |                     socketserver
import time:      1362 |       2016 |                   logging.config
import time:       131 |        131 |                     traitlets.utils.text
import time:       877 |        877 |                         gettext
import time:       997 |       1873 |                       argparse
import time:      1251 |       3123 |                     traitlets.config.loader
import time:      1028 |       4281 |                   traitlets.config.configurable
import time:       136 |        136 |                   traitlets.utils.nested_update
import time:      1130 |      10318 |                 traitlets.config.application
import time:       166 |      26177 |               traitlets.config
import time:        25 |      26201 |             traitlets.config.application
import time:      1195 |       1195 |                       html.entities
import time:       390 |       1584 |                     html
import time:       232 |        232 |                         executing._utils
import time:       140 |        140 |                           executing._exceptions
import time:       469 |        608 |                         executing._position_node_finder
import time:       729 |       1568 |                       executing.executing
import time:       115 |        115 |                       executing._pytest_utils
import time:        88 |         88 |                       executing.version
import time:       311 |       2081 |                     executing
import time:        49 |         49 |                             _bisect
import time:       136 |        185 |                           bisect
import time:       201 |        385 |                         asttokens.line_numbers
import time:        84 |         84 |                               astroid
import time:        41 |        124 |                             astroid.nodes
import time:      1448 |       1572 |                           asttokens.util
import time:       310 |       1882 |                         asttokens.asttokens
import time:       143 |       2409 |                       asttokens
import time:        19 |       2427 |                     asttokens.util
import time:       500 |        500 |                                 numbers
import time:       733 |       1233 |                               _decimal
import time:       129 |       1362 |                             decimal
import time:      1720 |       1720 |                             fractions
import time:       317 |       3398 |                           pure_eval.utils
import time:       161 |       3559 |                         pure_eval.my_getattr_static
import time:       427 |       3985 |                       pure_eval.core
import time:       138 |        138 |                       pure_eval.version
import time:       182 |       4304 |                     pure_eval
import time:       449 |        449 |                     stack_data.utils
import time:      1396 |      12238 |                   stack_data.core
import time:       307 |        307 |                   stack_data.formatting
import time:       280 |        280 |                   stack_data.serializing
import time:       101 |        101 |                   stack_data.version
import time:       226 |      13150 |                 stack_data
import time:       149 |        149 |                     pygments
import time:       273 |        273 |                     pygments.formatters._mapping
import time:        75 |         75 |                           _csv
import time:       346 |        421 |                         csv
import time:       163 |        163 |                         email
import time:        89 |         89 |                           binascii
import time:       166 |        166 |                             importlib._abc
import time:       136 |        302 |                           importlib.util
import time:       128 |        128 |                             zipfile._path.glob
import time:       376 |        503 |                           zipfile._path
import time:       991 |       1883 |                         zipfile
import time:       178 |        178 |                             quopri
import time:        54 |         54 |                                 _random
import time:        62 |         62 |                                 _sha2
import time:       426 |        541 |                               random
import time:       103 |        103 |                                     _locale
import time:      1484 |       1586 |                                   locale
import time:      1043 |       2629 |                                 calendar
import time:       270 |       2899 |                               email._parseaddr
import time:       380 |        380 |                                   base64
import time:       125 |        504 |                                 email.base64mime
import time:       247 |        247 |                                 email.quoprimime
import time:       661 |        661 |                                 email.errors
import time:       140 |        140 |                                 email.encoders
import time:       261 |       1812 |                               email.charset
import time:       535 |       5786 |                             email.utils
import time:       706 |        706 |                               email.header
import time:       311 |       1017 |                             email._policybase
import time:       294 |        294 |                             email._encoded_words
import time:       134 |        134 |                             email.iterators
import time:       690 |       8097 |                           email.message
import time:        95 |         95 |                             importlib.metadata._functools
import time:       166 |        261 |                           importlib.metadata._text
import time:       374 |       8731 |                         importlib.metadata._adapters
import time:       416 |        416 |                         importlib.metadata._meta
import time:       289 |        289 |                         importlib.metadata._collections
import time:       129 |        129 |                         importlib.metadata._itertools
import time:       587 |        587 |                               tempfile
import time:       400 |        400 |                               importlib.resources.abc
import time:       364 |        364 |                               importlib.resources._adapters
import time:       442 |       1791 |                             importlib.resources._common
import time:       207 |        207 |                             importlib.resources._legacy
import time:       132 |       2130 |                           importlib.resources
import time:       413 |       2542 |                         importlib.abc
import time:      1308 |      15880 |                       importlib.metadata
import time:       147 |      16026 |                     pygments.plugin
import time:       758 |        758 |                     pygments.util
import time:       258 |      17463 |                   pygments.formatters
import time:       188 |        188 |                       pygments.styles._mapping
import time:       171 |        359 |                     pygments.styles
import time:       166 |        525 |                   pygments.formatter
import time:       134 |        134 |                   pygments.console
import time:       453 |        453 |                     pygments.token
import time:       410 |        862 |                   pygments.style
import time:       278 |      19259 |                 pygments.formatters.terminal256
import time:       166 |        166 |                 IPython.utils
import time:       329 |        329 |                   glob
import time:      1436 |       1436 |                         signal
import time:        71 |         71 |                         fcntl
import time:        76 |         76 |                         msvcrt
import time:        30 |         30 |                         _posixsubprocess
import time:       731 |       2342 |                       subprocess
import time:       262 |        262 |                         shlex
import time:        70 |         70 |                             _wmi
import time:       618 |        688 |                           platform
import time:       150 |        150 |                           IPython.utils.encoding
import time:       429 |       1266 |                         IPython.utils.py3compat
import time:       231 |       1758 |                       IPython.utils._process_common
import time:       176 |       4275 |                     IPython.utils._process_posix
import time:       160 |       4434 |                   IPython.utils.process
import time:       382 |       5145 |                 IPython.utils.path
import time:       437 |        437 |                   pygments.styles.monokai
import time:       316 |        316 |                   pygments.styles.default
import time:       335 |        335 |                   pygments.styles.pastie
import time:       483 |        483 |                   pygments.styles.gruvbox
import time:     14446 |      16014 |                 IPython.utils.PyColorize
import time:       187 |        187 |                 IPython.utils.terminal
import time:       299 |        299 |                 IPython.core.display_trap
import time:       408 |        408 |                       pkgutil
import time:       447 |        447 |                       sysconfig
import time:       587 |        587 |                       _sysconfigdata__x86_64-linux-gnu
import time:      1866 |       3306 |                     pydoc
import time:       249 |        249 |                         codeop
import time:       256 |        504 |                       IPython.core.debugger_backport
import time:       214 |        214 |                         cmd
import time:       438 |        438 |                         bdb
import time:       226 |        226 |                         code
import time:       761 |       1638 |                       pdb
import time:       589 |       2730 |                     IPython.core.debugger
import time:       476 |       6510 |                   IPython.core.tbtools
import time:       287 |       6797 |                 IPython.core.doctb
import time:       623 |      61637 |               IPython.core.ultratb
import time:        89 |         89 |                 IPython.utils._sysinfo
import time:       170 |        259 |               IPython.utils.sysinfo
import time:       268 |      62162 |             IPython.core.crashhandler
import time:        93 |         93 |                 IPython.utils.importstring
import time:       177 |        270 |               IPython.paths
import time:       606 |        876 |             IPython.core.profiledir
import time:       845 |      92564 |           IPython.core.application
import time:       140 |        140 |             IPython.terminal
import time:      2126 |       2126 |                 _hashlib
import time:       648 |        648 |                 _blake2
import time:       282 |       3055 |               hashlib
import time:       181 |       3235 |             IPython.core.compilerop
import time:       195 |        195 |               IPython.core.error
import time:        90 |         90 |                 IPython.utils.docs
import time:       128 |        217 |               IPython.utils.decorators
import time:       791 |        791 |               IPython.utils.text
import time:       478 |       1680 |             IPython.core.magic_arguments
import time:       221 |        221 |               getopt
import time:       160 |        160 |                     IPython.core.display_functions
import time:        70 |         70 |                         _winapi
import time:        56 |         56 |                         winreg
import time:       303 |        428 |                       mimetypes
import time:       117 |        117 |                         IPython.testing
import time:       178 |        294 |                       IPython.testing.skipdoctest
import time:       544 |       1265 |                     IPython.core.display
import time:       108 |        108 |                       IPython.lib
import time:       557 |        664 |                     IPython.lib.display
import time:       174 |       2262 |                   IPython.display
import time:       132 |        132 |                   IPython.utils.data
import time:       417 |       2810 |                 IPython.core.page
import time:       534 |        534 |                 IPython.lib.pretty
import time:       359 |        359 |                 IPython.utils.openpy
import time:       120 |        120 |                 IPython.utils.dir2
import time:       159 |        159 |                 IPython.utils.wildcard
import time:      1396 |       1396 |                   pygments.lexers._mapping
import time:       346 |        346 |                   pygments.modeline
import time:       254 |       1995 |                 pygments.lexers
import time:       155 |        155 |                     pygments.filter
import time:       523 |        523 |                     pygments.filters
import time:       235 |        235 |                     pygments.regexopt
import time:       631 |       1542 |                   pygments.lexer
import time:       449 |        449 |                   pygments.unistring
import time:      1019 |       3009 |                 pygments.lexers.python
import time:        77 |         77 |                   ctags
import time:       391 |        468 |                 pygments.formatters.html
import time:      2229 |      11679 |               IPython.core.oinspect
import time:       391 |        391 |                 IPython.utils.tokenutil
import time:      1417 |       1808 |               IPython.core.inputtransformer2
import time:       180 |        180 |               IPython.utils.ipstruct
import time:       902 |      14787 |             IPython.core.magic
import time:       110 |        110 |               runpy
import time:       123 |        123 |                 IPython.external
import time:        94 |         94 |                 cPickle
import time:       310 |        526 |               IPython.external.pickleshare
import time:       160 |        160 |               IPython.core.hooks
import time:       160 |        160 |                 IPython.core.autocall
import time:       265 |        265 |                 IPython.core.macro
import time:       445 |        445 |                 IPython.core.splitinput
import time:      2671 |       3541 |               IPython.core.prefilter
import time:       641 |        641 |               IPython.core.alias
import time:       330 |        330 |               IPython.core.builtin_trap
import time:       685 |        685 |                   decorator
import time:       768 |        768 |                       _sqlite3
import time:       298 |       1066 |                     sqlite3.dbapi2
import time:       207 |       1272 |                   sqlite3
