import time: self [us] | cumulative | imported package
import time:       281 |        281 |   _io
import time:        39 |         39 |   marshal
import time:       304 |        304 |   posix
import time:       379 |       1002 | _frozen_importlib_external
import time:        96 |         96 |   time
import time:       107 |        202 | zipimport
import time:        58 |         58 |     _codecs
import time:       310 |        367 |   codecs
import time:       496 |        496 |   encodings.aliases
import time:       547 |       1409 | encodings
import time:       210 |        210 | encodings.utf_8
import time:        96 |         96 | _signal
import time:        49 |         49 |     _abc
import time:       124 |        172 |   abc
import time:       169 |        340 | io
import time:        43 |         43 |       _stat
import time:        61 |        103 |     stat
import time:       906 |        906 |     _collections_abc
import time:        52 |         52 |       genericpath
import time:        82 |        133 |     posixpath
import time:       345 |       1486 |   os
import time:        73 |         73 |   _sitebuiltins
import time:       615 |        615 |   _virtualenv
import time:       268 |        268 |   _distutils_hack
import time:        61 |         61 |     apport_python_hook
import time:       153 |        214 |   sitecustomize
import time:      1330 |       3984 | site
import time:       144 |        144 |     __future__
import time:       277 |        277 |           types
import time:        94 |         94 |             _operator
import time:       428 |        522 |           operator
import time:       220 |        220 |               itertools
import time:       165 |        165 |               keyword
import time:       193 |        193 |               reprlib
import time:        77 |         77 |               _collections
import time:       802 |       1455 |             collections
import time:        63 |         63 |             _functools
import time:       689 |       2206 |           functools
import time:      1422 |       4425 |         enum
import time:        79 |         79 |           _sre
import time:       281 |        281 |             re._constants
import time:       482 |        763 |           re._parser
import time:       121 |        121 |           re._casefix
import time:       465 |       1426 |         re._compiler
import time:       181 |        181 |         copyreg
import time:       538 |       6568 |       re
import time:       152 |        152 |         collections.abc
import time:       215 |        215 |             token
import time:        46 |         46 |             _tokenize
import time:      1039 |       1298 |           tokenize
import time:       155 |       1453 |         linecache
import time:       978 |        978 |         textwrap
import time:       657 |        657 |         contextlib
import time:       674 |       3912 |       traceback
import time:      1307 |       1307 |       warnings
import time:       232 |        232 |         _weakrefset
import time:       475 |        706 |       weakref
import time:        45 |         45 |         _string
import time:       630 |        674 |       string
import time:       822 |        822 |       threading
import time:        65 |         65 |       atexit
import time:      2158 |      16208 |     logging
import time:       207 |        207 |       _datetime
import time:       181 |        388 |     datetime
import time:       238 |        238 |         _socket
import time:        93 |         93 |           math
import time:        65 |         65 |           select
import time:       730 |        886 |         selectors
import time:        78 |         78 |         errno
import time:       101 |        101 |         array
import time:      1633 |       2935 |       socket
import time:       192 |        192 |           _struct
import time:       150 |        342 |         struct
import time:       295 |        295 |         _compat_pickle
import time:       142 |        142 |         _pickle
import time:       907 |       1685 |       pickle
import time:        46 |         46 |           _heapq
import time:       185 |        231 |         heapq
import time:       219 |        219 |         _queue
import time:       299 |        748 |       queue
import time:       216 |        216 |       copy
import time:       809 |       6391 |     logging.handlers
import time:       164 |        164 |       fnmatch
import time:       123 |        123 |         urllib
import time:      1418 |       1418 |         ipaddress
import time:      1011 |       2552 |       urllib.parse
import time:       155 |        155 |         _winapi
import time:        58 |         58 |         nt
import time:        51 |         51 |         nt
import time:        50 |         50 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:        45 |         45 |         nt
import time:       118 |        566 |       ntpath
import time:       836 |       4116 |     pathlib
import time:       151 |        151 |             IPython.core
import time:       180 |        331 |           IPython.core.getipython
import time:        92 |         92 |           IPython.core.release
import time:        98 |         98 |               zlib
import time:       206 |        206 |                 _compression
import time:       296 |        296 |                 _bz2
import time:       362 |        863 |               bz2
import time:       300 |        300 |                 _lzma
import time:       261 |        560 |               lzma
import time:       712 |       2231 |             shutil
import time:        53 |         53 |                     _typing
import time:      2595 |       2648 |                   typing
import time:      1228 |       1228 |                         _ast
import time:      1367 |       2594 |                       ast
import time:        41 |         41 |                           _opcode
import time:       463 |        504 |                         opcode
import time:       909 |       1412 |                       dis
import time:       168 |        168 |                         importlib
import time:        77 |        244 |                       importlib.machinery
import time:      2330 |       6579 |                     inspect
import time:       147 |        147 |                       traitlets.utils
import time:       204 |        350 |                     traitlets.utils.bunch
import time:       127 |        127 |                     traitlets.utils.descriptions
import time:       103 |        103 |                     traitlets.utils.getargspec
import time:       116 |        116 |                     traitlets.utils.importstring
import time:       108 |        108 |                     traitlets.utils.sentinel
import time:       105 |        105 |                     traitlets.utils.warnings
import time:      3914 |      11398 |                   traitlets.traitlets
import time:       267 |        267 |                   traitlets._version
import time:       161 |        161 |                   traitlets.utils.decorators
import time:       321 |      14793 |                 traitlets
import time:       225 |        225 |                         _json
import time:       478 |        703 |                       json.scanner
import time:       407 |       1109 |                     json.decoder
import time:       453 |        453 |                     json.encoder
import time:       221 |       1782 |                   json
import time:       642 |        642 |                     dataclasses
import time:       346 |        987 |                   pprint
import time:       655 |        655 |                     socketserver
import time:      1360 |       2015 |                   logging.config
import time:       116 |        116 |                     traitlets.utils.text
import time:       840 |        840 |                         gettext
import time:       996 |       1836 |                       argparse
import time:      1252 |       3087 |                     traitlets.config.loader
import time:       925 |       4127 |                   traitlets.config.configurable
import time:       158 |        158 |                   traitlets.utils.nested_update
import time:      1187 |      10253 |                 traitlets.config.application
import time:       193 |      25238 |               traitlets.config
import time:        24 |      25262 |             traitlets.config.application
import time:      1187 |       1187 |                       html.entities
import time:       398 |       1585 |                     html
import time:       236 |        236 |                         executing._utils
import time:       130 |        130 |                           executing._exceptions
import time:       431 |        561 |                         executing._position_node_finder
import time:       673 |       1469 |                       executing.executing
import time:       124 |        124 |                       executing._pytest_utils
import time:       109 |        109 |                       executing.version
import time:       324 |       2024 |                     executing
import time:        69 |         69 |                             _bisect
import time:       137 |        206 |                           bisect
import time:       203 |        408 |                         asttokens.line_numbers
import time:        82 |         82 |                               astroid
import time:        41 |        123 |                             astroid.nodes
import time:      1465 |       1587 |                           asttokens.util
import time:       286 |       1872 |                         asttokens.asttokens
import time:       146 |       2426 |                       asttokens
import time:        19 |       2445 |                     asttokens.util
import time:       479 |        479 |                                 numbers
import time:       703 |       1182 |                               _decimal
import time:       126 |       1307 |                             decimal
import time:      1681 |       1681 |                             fractions
import time:       314 |       3302 |                           pure_eval.utils
import time:       176 |       3477 |                         pure_eval.my_getattr_static
import time:       403 |       3880 |                       pure_eval.core
import time:       131 |        131 |                       pure_eval.version
import time:       176 |       4186 |                     pure_eval
import time:       462 |        462 |                     stack_data.utils
import time:      1383 |      12082 |                   stack_data.core
import time:       306 |        306 |                   stack_data.formatting
import time:       252 |        252 |                   stack_data.serializing
import time:        99 |         99 |                   stack_data.version
import time:       242 |      12979 |                 stack_data
import time:       168 |        168 |                     pygments
import time:       271 |        271 |                     pygments.formatters._mapping
import time:        69 |         69 |                           _csv
import time:       366 |        434 |                         csv
import time:       148 |        148 |                         email
import time:        87 |         87 |                           binascii
import time:       140 |        140 |                             importlib._abc
import time:       143 |        282 |                           importlib.util
import time:       122 |        122 |                             zipfile._path.glob
import time:       380 |        501 |                           zipfile._path
import time:      1035 |       1904 |                         zipfile
import time:       180 |        180 |                             quopri
import time:        50 |         50 |                                 _random
import time:        84 |         84 |                                 _sha2
import time:       402 |        535 |                               random
import time:       107 |        107 |                                     _locale
import time:      1480 |       1587 |                                   locale
import time:       958 |       2544 |                                 calendar
import time:       271 |       2814 |                               email._parseaddr
import time:       357 |        357 |                                   base64
import time:       134 |        491 |                                 email.base64mime
import time:       255 |        255 |                                 email.quoprimime
import time:       666 |        666 |                                 email.errors
import time:       141 |        141 |                                 email.encoders
import time:       260 |       1811 |                               email.charset
import time:       527 |       5685 |                             email.utils
import time:       744 |        744 |                               email.header
import time:       323 |       1067 |                             email._policybase
import time:       279 |        279 |                             email._encoded_words
import time:       129 |        129 |                             email.iterators
import time:       674 |       8011 |                           email.message
import time:       185 |        185 |                             importlib.metadata._functools
import time:       171 |        356 |                           importlib.metadata._text
import time:       325 |       8691 |                         importlib.metadata._adapters
import time:       415 |        415 |                         importlib.metadata._meta
import time:       301 |        301 |                         importlib.metadata._collections
import time:       120 |        120 |                         importlib.metadata._itertools
import time:       590 |        590 |                               tempfile
import time:       380 |        380 |                               importlib.resources.abc
import time:       311 |        311 |                               importlib.resources._adapters
import time:       467 |       1747 |                             importlib.resources._common
import time:       230 |        230 |                             importlib.resources._legacy
import time:       143 |       2119 |                           importlib.resources
import time:       377 |       2495 |                         importlib.abc
import time:      1354 |      15859 |                       importlib.metadata
import time:       138 |      15997 |                     pygments.plugin
import time:       767 |        767 |                     pygments.util
import time:       263 |      17464 |                   pygments.formatters
