import time: self [us] | cumulative | imported package
import time:       261 |        261 |   _io
import time:        37 |         37 |   marshal
import time:       320 |        320 |   posix
import time:       331 |        947 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       106 |        199 | zipimport
import time:        54 |         54 |     _codecs
import time:       287 |        341 |   codecs
import time:       461 |        461 |   encodings.aliases
import time:       523 |       1325 | encodings
import time:       203 |        203 | encodings.utf_8
import time:       101 |        101 | _signal
import time:        33 |         33 |     _abc
import time:       128 |        161 |   abc
import time:       159 |        320 | io
import time:        43 |         43 |       _stat
import time:        95 |        137 |     stat
import time:       857 |        857 |     _collections_abc
import time:        53 |         53 |       genericpath
import time:        86 |        139 |     posixpath
import time:       366 |       1498 |   os
import time:        72 |         72 |   _sitebuiltins
import time:       614 |        614 |   _virtualenv
import time:       252 |        252 |   _distutils_hack
import time:        63 |         63 |     apport_python_hook
import time:       151 |        214 |   sitecustomize
import time:      1272 |       3920 | site
import time:       149 |        149 |     __future__
import time:       293 |        293 |           types
import time:        91 |         91 |             _operator
import time:       391 |        482 |           operator
import time:       212 |        212 |               itertools
import time:       139 |        139 |               keyword
import time:       185 |        185 |               reprlib
import time:        75 |         75 |               _collections
import time:       843 |       1453 |             collections
import time:        63 |         63 |             _functools
import time:       631 |       2145 |           functools
import time:      1457 |       4375 |         enum
import time:        80 |         80 |           _sre
import time:       260 |        260 |             re._constants
import time:       486 |        745 |           re._parser
import time:       135 |        135 |           re._casefix
import time:       531 |       1489 |         re._compiler
import time:       176 |        176 |         copyreg
import time:       542 |       6581 |       re
import time:       173 |        173 |         collections.abc
import time:       181 |        181 |             token
import time:        43 |         43 |             _tokenize
import time:      1018 |       1241 |           tokenize
import time:       168 |       1408 |         linecache
import time:       988 |        988 |         textwrap
import time:       656 |        656 |         contextlib
import time:       627 |       3850 |       traceback
import time:      1163 |       1163 |       warnings
import time:       231 |        231 |         _weakrefset
import time:       436 |        667 |       weakref
import time:        40 |         40 |         _string
import time:       557 |        597 |       string
import time:       749 |        749 |       threading
import time:        58 |         58 |       atexit
import time:      2156 |      15818 |     logging
import time:       188 |        188 |       _datetime
import time:       144 |        332 |     datetime
import time:       217 |        217 |         _socket
import time:        83 |         83 |           math
import time:        61 |         61 |           select
import time:       669 |        812 |         selectors
import time:        75 |         75 |         errno
import time:        99 |         99 |         array
import time:      1611 |       2812 |       socket
import time:       187 |        187 |           _struct
import time:       158 |        345 |         struct
import time:       267 |        267 |         _compat_pickle
import time:       143 |        143 |         _pickle
import time:       951 |       1705 |       pickle
import time:        44 |         44 |           _heapq
import time:       181 |        224 |         heapq
import time:       234 |        234 |         _queue
import time:       291 |        748 |       queue
import time:       201 |        201 |       copy
import time:       776 |       6240 |     logging.handlers
import time:       170 |        170 |       fnmatch
import time:       123 |        123 |         urllib
import time:      1544 |       1544 |         ipaddress
import time:      1185 |       2850 |       urllib.parse
import time:       157 |        157 |         _winapi
import time:        59 |         59 |         nt
import time:        53 |         53 |         nt
import time:        53 |         53 |         nt
import time:        68 |         68 |         nt
import time:        48 |         48 |         nt
import time:        46 |         46 |         nt
import time:       119 |        600 |       ntpath
import time:       839 |       4457 |     pathlib
import time:       150 |        150 |             IPython.core
import time:       179 |        328 |           IPython.core.getipython
import time:       117 |        117 |           IPython.core.release
import time:        98 |         98 |               zlib
import time:       234 |        234 |                 _compression
import time:       292 |        292 |                 _bz2
import time:       362 |        886 |               bz2
import time:       354 |        354 |                 _lzma
import time:       270 |        623 |               lzma
import time:       670 |       2276 |             shutil
import time:        52 |         52 |                     _typing
import time:      2668 |       2720 |                   typing
import time:      1244 |       1244 |                         _ast
import time:      1362 |       2605 |                       ast
import time:        46 |         46 |                           _opcode
import time:       535 |        581 |                         opcode
import time:       987 |       1567 |                       dis
import time:       179 |        179 |                         importlib
import time:        70 |        249 |                       importlib.machinery
import time:      2266 |       6687 |                     inspect
import time:       160 |        160 |                       traitlets.utils
import time:       232 |        392 |                     traitlets.utils.bunch
import time:       129 |        129 |                     traitlets.utils.descriptions
import time:       109 |        109 |                     traitlets.utils.getargspec
import time:        94 |         94 |                     traitlets.utils.importstring
import time:       109 |        109 |                     traitlets.utils.sentinel
import time:       105 |        105 |                     traitlets.utils.warnings
import time:      4037 |      11660 |                   traitlets.traitlets
import time:       266 |        266 |                   traitlets._version
import time:       140 |        140 |                   traitlets.utils.decorators
import time:       288 |      15071 |                 traitlets
import time:       176 |        176 |                         _json
import time:       492 |        667 |                       json.scanner
import time:       412 |       1079 |                     json.decoder
import time:       416 |        416 |                     json.encoder
import time:       210 |       1704 |                   json
import time:       604 |        604 |                     dataclasses
import time:       352 |        956 |                   pprint
import time:       623 |        623 |                     socketserver
import time:      1340 |       1963 |                   logging.config
import time:       124 |        124 |                     traitlets.utils.text
import time:       842 |        842 |                         gettext
import time:       971 |       1813 |                       argparse
import time:      1238 |       3050 |                     traitlets.config.loader
import time:       958 |       4131 |                   traitlets.config.configurable
import time:       158 |        158 |                   traitlets.utils.nested_update
import time:      1118 |      10027 |                 traitlets.config.application
import time:       154 |      25251 |               traitlets.config
import time:        24 |      25274 |             traitlets.config.application
import time:      1195 |       1195 |                       html.entities
import time:       394 |       1588 |                     html
import time:       235 |        235 |                         executing._utils
import time:       164 |        164 |                           executing._exceptions
import time:       448 |        611 |                         executing._position_node_finder
import time:       718 |       1563 |                       executing.executing
import time:       111 |        111 |                       executing._pytest_utils
import time:        96 |         96 |                       executing.version
import time:       309 |       2079 |                     executing
import time:        48 |         48 |                             _bisect
import time:       144 |        191 |                           bisect
import time:       208 |        398 |                         asttokens.line_numbers
import time:        84 |         84 |                               astroid
import time:        42 |        126 |                             astroid.nodes
import time:      1368 |       1493 |                           asttokens.util
import time:       279 |       1771 |                         asttokens.asttokens
import time:       139 |       2307 |                       asttokens
import time:        19 |       2326 |                     asttokens.util
import time:       488 |        488 |                                 numbers
import time:       699 |       1187 |                               _decimal
import time:       128 |       1314 |                             decimal
import time:      1790 |       1790 |                             fractions
import time:       303 |       3405 |                           pure_eval.utils
import time:       156 |       3561 |                         pure_eval.my_getattr_static
import time:       419 |       3980 |                       pure_eval.core
import time:       117 |        117 |                       pure_eval.version
