import time: self [us] | cumulative | imported package
import time:       259 |        259 |   _io
import time:        38 |         38 |   marshal
import time:       385 |        385 |   posix
import time:       339 |       1020 | _frozen_importlib_external
import time:        95 |         95 |   time
import time:       155 |        250 | zipimport
import time:        58 |         58 |     _codecs
import time:       337 |        394 |   codecs
import time:       449 |        449 |   encodings.aliases
import time:       691 |       1533 | encodings
import time:       254 |        254 | encodings.utf_8
import time:       126 |        126 | _signal
import time:        35 |         35 |     _abc
import time:       134 |        169 |   abc
import time:       156 |        325 | io
import time:        41 |         41 |       _stat
import time:        69 |        109 |     stat
import time:       952 |        952 |     _collections_abc
import time:        57 |         57 |       genericpath
import time:       104 |        161 |     posixpath
import time:       341 |       1562 |   os
import time:        71 |         71 |   _sitebuiltins
import time:       624 |        624 |   _virtualenv
import time:       253 |        253 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       131 |        190 |   sitecustomize
import time:      1278 |       3975 | site
import time:       164 |        164 |     __future__
import time:       288 |        288 |           types
import time:        95 |         95 |             _operator
import time:       404 |        498 |           operator
import time:       245 |        245 |               itertools
import time:       149 |        149 |               keyword
import time:       188 |        188 |               reprlib
import time:        86 |         86 |               _collections
import time:       822 |       1489 |             collections
import time:        62 |         62 |             _functools
import time:       661 |       2210 |           functools
import time:      1465 |       4460 |         enum
import time:        84 |         84 |           _sre
import time:       275 |        275 |             re._constants
import time:       543 |        818 |           re._parser
import time:       132 |        132 |           re._casefix
import time:       608 |       1640 |         re._compiler
import time:       179 |        179 |         copyreg
import time:       545 |       6823 |       re
import time:       181 |        181 |         collections.abc
import time:       206 |        206 |             token
import time:        46 |         46 |             _tokenize
import time:      1076 |       1327 |           tokenize
import time:       175 |       1502 |         linecache
import time:      1007 |       1007 |         textwrap
import time:       664 |        664 |         contextlib
import time:       812 |       4164 |       traceback
import time:      1323 |       1323 |       warnings
import time:       217 |        217 |         _weakrefset
import time:       466 |        682 |       weakref
import time:        42 |         42 |         _string
import time:       617 |        658 |       string
import time:       817 |        817 |       threading
