import time: self [us] | cumulative | imported package
import time:       305 |        305 |   _io
import time:        43 |         43 |   marshal
import time:       321 |        321 |   posix
import time:       407 |       1074 | _frozen_importlib_external
import time:       100 |        100 |   time
import time:       122 |        221 | zipimport
import time:        52 |         52 |     _codecs
import time:       293 |        344 |   codecs
import time:       521 |        521 |   encodings.aliases
import time:       528 |       1392 | encodings
import time:       197 |        197 | encodings.utf_8
import time:       134 |        134 | _signal
import time:        33 |         33 |     _abc
import time:       132 |        164 |   abc
import time:       150 |        314 | io
import time:        43 |         43 |       _stat
import time:        60 |        103 |     stat
import time:       839 |        839 |     _collections_abc
import time:        48 |         48 |       genericpath
import time:        76 |        124 |     posixpath
import time:       328 |       1392 |   os
import time:        68 |         68 |   _sitebuiltins
import time:       592 |        592 |   _virtualenv
import time:       261 |        261 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       130 |        188 |   sitecustomize
import time:      1265 |       3764 | site
import time:       155 |        155 |     __future__
import time:       362 |        362 |           types
import time:        94 |         94 |             _operator
import time:       400 |        494 |           operator
import time:       215 |        215 |               itertools
import time:       152 |        152 |               keyword
import time:       193 |        193 |               reprlib
import time:        75 |         75 |               _collections
import time:       825 |       1457 |             collections
import time:        65 |         65 |             _functools
import time:       654 |       2176 |           functools
import time:      1425 |       4454 |         enum
import time:        79 |         79 |           _sre
import time:       290 |        290 |             re._constants
import time:       528 |        817 |           re._parser
import time:       119 |        119 |           re._casefix
import time:       489 |       1503 |         re._compiler
import time:       176 |        176 |         copyreg
import time:       583 |       6715 |       re
import time:       152 |        152 |         collections.abc
import time:       185 |        185 |             token
import time:        43 |         43 |             _tokenize
import time:      1024 |       1252 |           tokenize
import time:       151 |       1403 |         linecache
import time:      1118 |       1118 |         textwrap
import time:       600 |        600 |         contextlib
import time:       650 |       3920 |       traceback
import time:      1236 |       1236 |       warnings
import time:       245 |        245 |         _weakrefset
import time:       479 |        723 |       weakref
import time:        42 |         42 |         _string
import time:       580 |        622 |       string
import time:       842 |        842 |       threading
import time:        60 |         60 |       atexit
import time:      2457 |      16570 |     logging
import time:       203 |        203 |       _datetime
import time:       172 |        374 |     datetime
import time:       236 |        236 |         _socket
import time:        86 |         86 |           math
import time:        70 |         70 |           select
import time:       683 |        837 |         selectors
import time:        77 |         77 |         errno
import time:       116 |        116 |         array
import time:      1632 |       2897 |       socket
import time:       205 |        205 |           _struct
import time:       156 |        360 |         struct
import time:       279 |        279 |         _compat_pickle
import time:       119 |        119 |         _pickle
import time:       910 |       1666 |       pickle
import time:        46 |         46 |           _heapq
import time:       198 |        243 |         heapq
import time:       197 |        197 |         _queue
import time:       302 |        741 |       queue
import time:       217 |        217 |       copy
import time:       828 |       6347 |     logging.handlers
import time:       160 |        160 |       fnmatch
import time:       120 |        120 |         urllib
import time:      1447 |       1447 |         ipaddress
import time:      1067 |       2633 |       urllib.parse
import time:       149 |        149 |         _winapi
import time:        57 |         57 |         nt
import time:        61 |         61 |         nt
import time:        51 |         51 |         nt
import time:        46 |         46 |         nt
import time:        44 |         44 |         nt
import time:        44 |         44 |         nt
import time:       117 |        566 |       ntpath
import time:       826 |       4183 |     pathlib
import time:       153 |        153 |             IPython.core
import time:       195 |        347 |           IPython.core.getipython
import time:        98 |         98 |           IPython.core.release
import time:        95 |         95 |               zlib
import time:       217 |        217 |                 _compression
import time:       299 |        299 |                 _bz2
import time:       494 |       1009 |               bz2
import time:       317 |        317 |                 _lzma
import time:       317 |        633 |               lzma
import time:       712 |       2448 |             shutil
import time:        55 |         55 |                     _typing
import time:      2738 |       2793 |                   typing
import time:      1153 |       1153 |                         _ast
import time:      1288 |       2441 |                       ast
import time:        39 |         39 |                           _opcode
import time:       441 |        479 |                         opcode
import time:       935 |       1414 |                       dis
import time:       170 |        170 |                         importlib
import time:        78 |        248 |                       importlib.machinery
import time:      2242 |       6343 |                     inspect
import time:       145 |        145 |                       traitlets.utils
import time:       212 |        357 |                     traitlets.utils.bunch
import time:       127 |        127 |                     traitlets.utils.descriptions
import time:       103 |        103 |                     traitlets.utils.getargspec
import time:        93 |         93 |                     traitlets.utils.importstring
import time:       108 |        108 |                     traitlets.utils.sentinel
import time:       114 |        114 |                     traitlets.utils.warnings
import time:      4002 |      11243 |                   traitlets.traitlets
import time:       278 |        278 |                   traitlets._version
import time:       143 |        143 |                   traitlets.utils.decorators
import time:       314 |      14770 |                 traitlets
import time:       189 |        189 |                         _json
import time:       480 |        669 |                       json.scanner
import time:       417 |       1085 |                     json.decoder
import time:       416 |        416 |                     json.encoder
import time:       228 |       1728 |                   json
import time:       639 |        639 |                     dataclasses
import time:       344 |        983 |                   pprint
import time:       606 |        606 |                     socketserver
import time:      1320 |       1926 |                   logging.config
import time:       161 |        161 |                     traitlets.utils.text
import time:       822 |        822 |                         gettext
import time:       993 |       1814 |                       argparse
import time:      1205 |       3018 |                     traitlets.config.loader
import time:       922 |       4100 |                   traitlets.config.configurable
import time:       148 |        148 |                   traitlets.utils.nested_update
import time:      1123 |      10005 |                 traitlets.config.application
import time:       152 |      24926 |               traitlets.config
import time:        25 |      24951 |             traitlets.config.application
import time:      1221 |       1221 |                       html.entities
import time:       392 |       1612 |                     html
import time:       227 |        227 |                         executing._utils
import time:       146 |        146 |                           executing._exceptions
import time:       468 |        613 |                         executing._position_node_finder
import time:       730 |       1569 |                       executing.executing
import time:       130 |        130 |                       executing._pytest_utils
import time:        86 |         86 |                       executing.version
import time:       315 |       2097 |                     executing
import time:        75 |         75 |                             _bisect
import time:       132 |        206 |                           bisect
import time:       199 |        405 |                         asttokens.line_numbers
import time:        99 |         99 |                               astroid
import time:        41 |        140 |                             astroid.nodes
import time:      1444 |       1583 |                           asttokens.util
import time:       305 |       1887 |                         asttokens.asttokens
import time:       141 |       2432 |                       asttokens
import time:        19 |       2450 |                     asttokens.util
import time:       481 |        481 |                                 numbers
import time:       758 |       1239 |                               _decimal
import time:       131 |       1369 |                             decimal
import time:      1709 |       1709 |                             fractions
import time:       303 |       3380 |                           pure_eval.utils
import time:       157 |       3537 |                         pure_eval.my_getattr_static
import time:       418 |       3955 |                       pure_eval.core
import time:       118 |        118 |                       pure_eval.version
import time:       188 |       4260 |                     pure_eval
import time:       446 |        446 |                     stack_data.utils
