import time: self [us] | cumulative | imported package
import time:       297 |        297 |   _io
import time:        39 |         39 |   marshal
import time:       309 |        309 |   posix
import time:       395 |       1038 | _frozen_importlib_external
import time:        92 |         92 |   time
import time:       122 |        214 | zipimport
import time:        53 |         53 |     _codecs
import time:       281 |        333 |   codecs
import time:       476 |        476 |   encodings.aliases
import time:       499 |       1308 | encodings
import time:       204 |        204 | encodings.utf_8
import time:       105 |        105 | _signal
import time:        63 |         63 |     _abc
import time:       121 |        183 |   abc
import time:       146 |        329 | io
import time:        59 |         59 |       _stat
import time:        70 |        128 |     stat
import time:       810 |        810 |     _collections_abc
import time:        52 |         52 |       genericpath
import time:        79 |        131 |     posixpath
import time:       341 |       1408 |   os
import time:        66 |         66 |   _sitebuiltins
import time:       574 |        574 |   _virtualenv
import time:       248 |        248 |   _distutils_hack
import time:        57 |         57 |     apport_python_hook
import time:       123 |        179 |   sitecustomize
import time:      1247 |       3720 | site
import time:       145 |        145 |     __future__
import time:       317 |        317 |           types
import time:        95 |         95 |             _operator
import time:       422 |        516 |           operator
import time:       219 |        219 |               itertools
import time:       153 |        153 |               keyword
import time:       191 |        191 |               reprlib
import time:        83 |         83 |               _collections
import time:       823 |       1467 |             collections
import time:        65 |         65 |             _functools
import time:       677 |       2208 |           functools
import time:      1367 |       4407 |         enum
import time:        77 |         77 |           _sre
import time:       260 |        260 |             re._constants
import time:       486 |        746 |           re._parser
import time:       129 |        129 |           re._casefix
import time:       490 |       1440 |         re._compiler
import time:       172 |        172 |         copyreg
import time:       577 |       6595 |       re
import time:       166 |        166 |         collections.abc
import time:       202 |        202 |             token
import time:        54 |         54 |             _tokenize
import time:      1010 |       1266 |           tokenize
import time:       148 |       1413 |         linecache
import time:       982 |        982 |         textwrap
import time:       651 |        651 |         contextlib
import time:       676 |       3886 |       traceback
import time:      1178 |       1178 |       warnings
import time:       223 |        223 |         _weakrefset
import time:       467 |        690 |       weakref
import time:        41 |         41 |         _string
import time:       609 |        649 |       string
import time:       722 |        722 |       threading
import time:        59 |         59 |       atexit
import time:      2072 |      15848 |     logging
import time:       192 |        192 |       _datetime
import time:       146 |        337 |     datetime
import time:       212 |        212 |         _socket
import time:        85 |         85 |           math
import time:        61 |         61 |           select
import time:       692 |        837 |         selectors
import time:        77 |         77 |         errno
import time:        98 |         98 |         array
import time:      1594 |       2816 |       socket
import time:       201 |        201 |           _struct
import time:       140 |        340 |         struct
import time:       304 |        304 |         _compat_pickle
import time:       137 |        137 |         _pickle
import time:       882 |       1663 |       pickle
import time:        46 |         46 |           _heapq
import time:       199 |        245 |         heapq
import time:       208 |        208 |         _queue
import time:       291 |        744 |       queue
import time:       214 |        214 |       copy
import time:       810 |       6244 |     logging.handlers
import time:       190 |        190 |       fnmatch
import time:       124 |        124 |         urllib
import time:      1428 |       1428 |         ipaddress
import time:      1108 |       2660 |       urllib.parse
import time:       156 |        156 |         _winapi
import time:        58 |         58 |         nt
import time:        62 |         62 |         nt
import time:        52 |         52 |         nt
import time:        48 |         48 |         nt
import time:        48 |         48 |         nt
import time:        47 |         47 |         nt
import time:       117 |        583 |       ntpath
import time:       844 |       4276 |     pathlib
import time:       160 |        160 |             IPython.core
import time:       217 |        376 |           IPython.core.getipython
import time:       103 |        103 |           IPython.core.release
import time:        93 |         93 |               zlib
import time:       237 |        237 |                 _compression
import time:       306 |        306 |                 _bz2
import time:       475 |       1017 |               bz2
import time:       334 |        334 |                 _lzma
import time:       333 |        666 |               lzma
import time:       708 |       2482 |             shutil
import time:        54 |         54 |                     _typing
import time:      2787 |       2840 |                   typing
import time:      1350 |       1350 |                         _ast
import time:      1453 |       2803 |                       ast
import time:        43 |         43 |                           _opcode
import time:       491 |        534 |                         opcode
import time:       983 |       1516 |                       dis
import time:       177 |        177 |                         importlib
import time:        78 |        254 |                       importlib.machinery
import time:      2410 |       6981 |                     inspect
import time:       161 |        161 |                       traitlets.utils
import time:       206 |        366 |                     traitlets.utils.bunch
import time:       131 |        131 |                     traitlets.utils.descriptions
import time:       105 |        105 |                     traitlets.utils.getargspec
import time:        93 |         93 |                     traitlets.utils.importstring
import time:       126 |        126 |                     traitlets.utils.sentinel
import time:       109 |        109 |                     traitlets.utils.warnings
import time:      4461 |      12369 |                   traitlets.traitlets
import time:       277 |        277 |                   traitlets._version
import time:       162 |        162 |                   traitlets.utils.decorators
import time:       366 |      16012 |                 traitlets
import time:       210 |        210 |                         _json
import time:       502 |        712 |                       json.scanner
import time:       418 |       1129 |                     json.decoder
import time:       449 |        449 |                     json.encoder
import time:       229 |       1807 |                   json
import time:       632 |        632 |                     dataclasses
import time:       359 |        990 |                   pprint
import time:       648 |        648 |                     socketserver
import time:      1292 |       1940 |                   logging.config
import time:       115 |        115 |                     traitlets.utils.text
import time:       893 |        893 |                         gettext
import time:       957 |       1850 |                       argparse
import time:      1216 |       3065 |                     traitlets.config.loader
import time:      1023 |       4202 |                   traitlets.config.configurable
import time:       150 |        150 |                   traitlets.utils.nested_update
import time:      1285 |      10372 |                 traitlets.config.application
import time:       179 |      26562 |               traitlets.config
import time:        25 |      26587 |             traitlets.config.application
import time:      1196 |       1196 |                       html.entities
import time:       391 |       1586 |                     html
import time:       228 |        228 |                         executing._utils
import time:       137 |        137 |                           executing._exceptions
import time:       461 |        597 |                         executing._position_node_finder
import time:       742 |       1566 |                       executing.executing
import time:       113 |        113 |                       executing._pytest_utils
import time:        87 |         87 |                       executing.version
import time:       322 |       2087 |                     executing
import time:        55 |         55 |                             _bisect
import time:       138 |        193 |                           bisect
import time:       201 |        393 |                         asttokens.line_numbers
import time:        82 |         82 |                               astroid
import time:        41 |        122 |                             astroid.nodes
import time:      1444 |       1565 |                           asttokens.util
import time:       296 |       1861 |                         asttokens.asttokens
import time:       147 |       2399 |                       asttokens
import time:        27 |       2425 |                     asttokens.util
import time:       544 |        544 |                                 numbers
import time:       731 |       1275 |                               _decimal
import time:       129 |       1403 |                             decimal
import time:      1681 |       1681 |                             fractions
import time:       309 |       3392 |                           pure_eval.utils
import time:       160 |       3552 |                         pure_eval.my_getattr_static
import time:       433 |       3984 |                       pure_eval.core
import time:       110 |        110 |                       pure_eval.version
import time:       195 |       4288 |                     pure_eval
import time:       446 |        446 |                     stack_data.utils
import time:      1417 |      12246 |                   stack_data.core
import time:       343 |        343 |                   stack_data.formatting
import time:       336 |        336 |                   stack_data.serializing
import time:       124 |        124 |                   stack_data.version
import time:       236 |      13283 |                 stack_data
import time:       163 |        163 |                     pygments
import time:       285 |        285 |                     pygments.formatters._mapping
import time:       101 |        101 |                           _csv
import time:       430 |        531 |                         csv
import time:       236 |        236 |                         email
