import time: self [us] | cumulative | imported package
import time:       282 |        282 |   _io
import time:        38 |         38 |   marshal
import time:       335 |        335 |   posix
import time:       334 |        987 | _frozen_importlib_external
import time:        97 |         97 |   time
import time:       108 |        204 | zipimport
import time:        55 |         55 |     _codecs
import time:       322 |        376 |   codecs
import time:       450 |        450 |   encodings.aliases
import time:       500 |       1325 | encodings
import time:       216 |        216 | encodings.utf_8
import time:       100 |        100 | _signal
import time:        31 |         31 |     _abc
import time:       117 |        148 |   abc
import time:       167 |        314 | io
import time:        43 |         43 |       _stat
import time:        59 |        102 |     stat
import time:       875 |        875 |     _collections_abc
import time:        50 |         50 |       genericpath
import time:        78 |        127 |     posixpath
import time:       349 |       1451 |   os
import time:        71 |         71 |   _sitebuiltins
import time:       630 |        630 |   _virtualenv
import time:       259 |        259 |   _distutils_hack
import time:        59 |         59 |     apport_python_hook
import time:       134 |        192 |   sitecustomize
import time:      1270 |       3871 | site
import time:       177 |        177 |     __future__
import time:       261 |        261 |           types
import time:       175 |        175 |             _operator
import time:       348 |        523 |           operator
import time:       206 |        206 |               itertools
import time:       150 |        150 |               keyword
import time:       188 |        188 |               reprlib
import time:       104 |        104 |               _collections
import time:       865 |       1512 |             collections
import time:        64 |         64 |             _functools
import time:       633 |       2208 |           functools
import time:      1373 |       4363 |         enum
import time:        73 |         73 |           _sre
import time:       289 |        289 |             re._constants
import time:       516 |        804 |           re._parser
import time:       129 |        129 |           re._casefix
import time:       358 |       1362 |         re._compiler
import time:       181 |        181 |         copyreg
import time:       669 |       6574 |       re
import time:       150 |        150 |         collections.abc
import time:       178 |        178 |             token
import time:        43 |         43 |             _tokenize
import time:      1839 |       2059 |           tokenize
import time:       199 |       2258 |         linecache
import time:       965 |        965 |         textwrap
import time:       601 |        601 |         contextlib
import time:       608 |       4580 |       traceback
import time:       451 |        451 |       warnings
import time:       254 |        254 |         _weakrefset
import time:       488 |        742 |       weakref
import time:        44 |         44 |         _string
import time:       573 |        616 |       string
import time:       717 |        717 |       threading
import time:        63 |         63 |       atexit
import time:      2018 |      15758 |     logging
import time:       209 |        209 |       _datetime
import time:       160 |        368 |     datetime
import time:       240 |        240 |         _socket
import time:       121 |        121 |           math
import time:        65 |         65 |           select
import time:       729 |        915 |         selectors
import time:        79 |         79 |         errno
import time:       123 |        123 |         array
import time:      1709 |       3063 |       socket
import time:       187 |        187 |           _struct
import time:       149 |        336 |         struct
import time:       306 |        306 |         _compat_pickle
import time:       115 |        115 |         _pickle
import time:       910 |       1666 |       pickle
import time:        44 |         44 |           _heapq
import time:       217 |        261 |         heapq
import time:       207 |        207 |         _queue
import time:       303 |        770 |       queue
import time:       213 |        213 |       copy
import time:       905 |       6615 |     logging.handlers
import time:       160 |        160 |       fnmatch
import time:       140 |        140 |         urllib
import time:      1851 |       1851 |         ipaddress
import time:      1091 |       3082 |       urllib.parse
import time:       153 |        153 |         _winapi
import time:        60 |         60 |         nt
import time:        53 |         53 |         nt
import time:        48 |         48 |         nt
import time:        47 |         47 |         nt
import time:        46 |         46 |         nt
import time:        46 |         46 |         nt
import time:       122 |        570 |       ntpath
import time:       864 |       4674 |     pathlib
import time:       139 |        139 |             IPython.core
import time:       171 |        309 |           IPython.core.getipython
import time:       107 |        107 |           IPython.core.release
import time:        97 |         97 |               zlib
import time:       204 |        204 |                 _compression
import time:       282 |        282 |                 _bz2
import time:       384 |        870 |               bz2
import time:       331 |        331 |                 _lzma
import time:       297 |        627 |               lzma
import time:       747 |       2340 |             shutil
import time:        53 |         53 |                     _typing
import time:      3411 |       3464 |                   typing
import time:        99 |         99 |                         _ast
import time:      1371 |       1470 |                       ast
import time:        39 |         39 |                           _opcode
import time:       502 |        541 |                         opcode
import time:       931 |       1471 |                       dis
import time:       177 |        177 |                         importlib
import time:        74 |        251 |                       importlib.machinery
import time:      2784 |       5974 |                     inspect
import time:       197 |        197 |                       traitlets.utils
import time:       229 |        425 |                     traitlets.utils.bunch
import time:       145 |        145 |                     traitlets.utils.descriptions
import time:       109 |        109 |                     traitlets.utils.getargspec
import time:        97 |         97 |                     traitlets.utils.importstring
import time:       110 |        110 |                     traitlets.utils.sentinel
import time:       140 |        140 |                     traitlets.utils.warnings
import time:      3416 |      10412 |                   traitlets.traitlets
import time:       302 |        302 |                   traitlets._version
import time:       215 |        215 |                   traitlets.utils.decorators
import time:       353 |      14745 |                 traitlets
import time:       215 |        215 |                         _json
import time:       485 |        699 |                       json.scanner
import time:       418 |       1117 |                     json.decoder
import time:       470 |        470 |                     json.encoder
import time:       220 |       1806 |                   json
import time:       654 |        654 |                     dataclasses
import time:       352 |       1005 |                   pprint
import time:       652 |        652 |                     socketserver
import time:      1484 |       2136 |                   logging.config
import time:       120 |        120 |                     traitlets.utils.text
import time:       843 |        843 |                         gettext
import time:      1016 |       1858 |                       argparse
import time:      1282 |       3139 |                     traitlets.config.loader
import time:      1211 |       4469 |                   traitlets.config.configurable
import time:       161 |        161 |                   traitlets.utils.nested_update
import time:      1167 |      10743 |                 traitlets.config.application
import time:       209 |      25696 |               traitlets.config
import time:        26 |      25721 |             traitlets.config.application
import time:      1265 |       1265 |                       html.entities
import time:       477 |       1742 |                     html
import time:       246 |        246 |                         executing._utils
import time:       148 |        148 |                           executing._exceptions
import time:       517 |        664 |                         executing._position_node_finder
import time:       759 |       1668 |                       executing.executing
import time:       119 |        119 |                       executing._pytest_utils
import time:        95 |         95 |                       executing.version
import time:       331 |       2211 |                     executing
import time:        53 |         53 |                             _bisect
import time:       143 |        196 |                           bisect
import time:       218 |        414 |                         asttokens.line_numbers
import time:        79 |         79 |                               astroid
import time:        42 |        121 |                             astroid.nodes
import time:      1466 |       1587 |                           asttokens.util
import time:       294 |       1880 |                         asttokens.asttokens
import time:       196 |       2489 |                       asttokens
import time:        26 |       2514 |                     asttokens.util
import time:       478 |        478 |                                 numbers
import time:       751 |       1229 |                               _decimal
import time:       152 |       1380 |                             decimal
import time:      1946 |       1946 |                             fractions
import time:       327 |       3653 |                           pure_eval.utils
import time:       149 |       3801 |                         pure_eval.my_getattr_static
import time:       393 |       4193 |                       pure_eval.core
import time:       116 |        116 |                       pure_eval.version
import time:       189 |       4498 |                     pure_eval
import time:       455 |        455 |                     stack_data.utils
import time:      1404 |      12822 |                   stack_data.core
import time:       308 |        308 |                   stack_data.formatting
import time:       261 |        261 |                   stack_data.serializing
