import time: self [us] | cumulative | imported package
import time:       262 |        262 |   _io
import time:        38 |         38 |   marshal
import time:       340 |        340 |   posix
import time:       332 |        970 | _frozen_importlib_external
import time:        94 |         94 |   time
import time:       105 |        199 | zipimport
import time:        57 |         57 |     _codecs
import time:       338 |        394 |   codecs
import time:       473 |        473 |   encodings.aliases
import time:       501 |       1367 | encodings
import time:       236 |        236 | encodings.utf_8
import time:       111 |        111 | _signal
import time:        32 |         32 |     _abc
import time:       116 |        148 |   abc
import time:       167 |        314 | io
import time:        43 |         43 |       _stat
import time:        60 |        103 |     stat
import time:       841 |        841 |     _collections_abc
import time:        48 |         48 |       genericpath
import time:        76 |        123 |     posixpath
import time:       370 |       1434 |   os
import time:        72 |         72 |   _sitebuiltins
import time:       621 |        621 |   _virtualenv
import time:       244 |        244 |   _distutils_hack
import time:        58 |         58 |     apport_python_hook
import time:       132 |        189 |   sitecustomize
import time:      1280 |       3837 | site
import time:       186 |        186 |     __future__
import time:       271 |        271 |           types
import time:        96 |         96 |             _operator
import time:       409 |        504 |           operator
import time:       219 |        219 |               itertools
import time:       144 |        144 |               keyword
import time:       206 |        206 |               reprlib
import time:        72 |         72 |               _collections
import time:       855 |       1494 |             collections
import time:        62 |         62 |             _functools
import time:       638 |       2194 |           functools
import time:      1426 |       4394 |         enum
import time:        93 |         93 |           _sre
import time:       255 |        255 |             re._constants
import time:       526 |        781 |           re._parser
import time:       124 |        124 |           re._casefix
import time:       460 |       1457 |         re._compiler
import time:       183 |        183 |         copyreg
import time:       600 |       6632 |       re
import time:       159 |        159 |         collections.abc
import time:       166 |        166 |             token
import time:        42 |         42 |             _tokenize
import time:      1004 |       1211 |           tokenize
import time:       183 |       1394 |         linecache
import time:       978 |        978 |         textwrap
import time:       626 |        626 |         contextlib
import time:       668 |       3822 |       traceback
import time:      1141 |       1141 |       warnings
import time:       213 |        213 |         _weakrefset
import time:       493 |        706 |       weakref
import time:        42 |         42 |         _string
import time:       579 |        621 |       string
import time:       812 |        812 |       threading
import time:        62 |         62 |       atexit
import time:      2212 |      16003 |     logging
import time:       179 |        179 |       _datetime
import time:       139 |        317 |     datetime
import time:       202 |        202 |         _socket
import time:        80 |         80 |           math
import time:        57 |         57 |           select
import time:       681 |        817 |         selectors
import time:        76 |         76 |         errno
import time:       100 |        100 |         array
import time:      1595 |       2788 |       socket
import time:       197 |        197 |           _struct
import time:       193 |        390 |         struct
import time:       292 |        292 |         _compat_pickle
import time:       158 |        158 |         _pickle
import time:       969 |       1808 |       pickle
import time:        45 |         45 |           _heapq
import time:       196 |        241 |         heapq
import time:       224 |        224 |         _queue
import time:       308 |        772 |       queue
import time:       207 |        207 |       copy
import time:       764 |       6336 |     logging.handlers
import time:       158 |        158 |       fnmatch
import time:       120 |        120 |         urllib
import time:      1509 |       1509 |         ipaddress
import time:      1029 |       2657 |       urllib.parse
import time:       152 |        152 |         _winapi
